Iteration	Posterior	Likelihood	Prior	rho[1][4]
0	-19910.26	0	-19910.26	0.1019557
500	-1688.78	0	-1688.78	-0.1936417
1000	-1397.975	0	-1397.975	-0.4815308
1500	-1372.226	0	-1372.226	-0.2505542
2000	-1357.784	0	-1357.784	-0.3561049
2500	-1273.304	0	-1273.304	-0.4214447
3000	-1247.177	0	-1247.177	-0.4546392
3500	-1243.089	0	-1243.089	-0.4636337
4000	-1233.841	0	-1233.841	-0.2600993
4500	-1229.855	0	-1229.855	-0.471227
5000	-1244.607	0	-1244.607	-0.126797
5500	-1233.043	0	-1233.043	-0.2429515
6000	-1205.076	0	-1205.076	-0.255417
6500	-1262.288	0	-1262.288	-0.2801939
7000	-1211.548	0	-1211.548	-0.4224672
7500	-1219.565	0	-1219.565	-0.3587396
8000	-1250.792	0	-1250.792	-0.3689609
8500	-1245.997	0	-1245.997	-0.5333401
9000	-1316.824	0	-1316.824	-0.340733
9500	-1230.902	0	-1230.902	-0.3811308
10000	-1272.767	0	-1272.767	-0.3878398
10500	-1233.876	0	-1233.876	-0.4255803
11000	-1172.672	0	-1172.672	-0.4992639
11500	-1164.007	0	-1164.007	-0.5522231
12000	-1157.338	0	-1157.338	-0.5493115
12500	-1129.603	0	-1129.603	-0.5021596
13000	-1111.142	0	-1111.142	-0.5205954
13500	-1125.284	0	-1125.284	-0.5283387
14000	-1107.958	0	-1107.958	-0.5386666
14500	-1131.495	0	-1131.495	-0.4468518
15000	-1192.714	0	-1192.714	-0.6189523
15500	-1186.817	0	-1186.817	-0.5814936
16000	-1218.837	0	-1218.837	-0.6736728
16500	-1186.263	0	-1186.263	-0.5746934
17000	-1216.814	0	-1216.814	-0.3795194
17500	-1175.131	0	-1175.131	-0.647183
18000	-1144.735	0	-1144.735	-0.665239
18500	-1100.203	0	-1100.203	-0.579866
19000	-1093.598	0	-1093.598	-0.6734755
19500	-1090.616	0	-1090.616	-0.7781866
20000	-1096.407	0	-1096.407	-0.6775067
20500	-1074.927	0	-1074.927	-0.6715569
21000	-1075.592	0	-1075.592	-0.7131128
21500	-1061.054	0	-1061.054	-0.6965148
22000	-1010.929	0	-1010.929	-0.6883114
22500	-975.3933	0	-975.3933	-0.7727984
23000	-1015.859	0	-1015.859	-0.6874661
23500	-1072.075	0	-1072.075	-0.6854425
24000	-1021.387	0	-1021.387	-0.7445996
24500	-1129.329	0	-1129.329	-0.6066791
25000	-1013.339	0	-1013.339	-0.8223311
25500	-1101.822	0	-1101.822	-0.7641945
26000	-1027.849	0	-1027.849	-0.8065169
26500	-1019.711	0	-1019.711	-0.8055202
27000	-1048.577	0	-1048.577	-0.7433635
27500	-1066.876	0	-1066.876	-0.7559537
28000	-998.7576	0	-998.7576	-0.8177562
28500	-990.117	0	-990.117	-0.8310969
29000	-1054.344	0	-1054.344	-0.7787971
29500	-1023.887	0	-1023.887	-0.8245831
30000	-1076.373	0	-1076.373	-0.8567509
30500	-1064.916	0	-1064.916	-0.7827823
31000	-1023.95	0	-1023.95	-0.8614947
31500	-1016.042	0	-1016.042	-0.8496876
32000	-1016.373	0	-1016.373	-0.8186081
32500	-1162.796	0	-1162.796	-0.6732524
33000	-1131.47	0	-1131.47	-0.6714093
33500	-1164.321	0	-1164.321	-0.7300842
34000	-1081.814	0	-1081.814	-0.8292215
34500	-1034.262	0	-1034.262	-0.8299783
35000	-873.9935	0	-873.9935	-0.8888408
35500	-886.2134	0	-886.2134	-0.8647654
36000	-920.7745	0	-920.7745	-0.8609943
36500	-986.173	0	-986.173	-0.8684386
37000	-949.1191	0	-949.1191	-0.8741523
37500	-957.1752	0	-957.1752	-0.8521916
38000	-903.3183	0	-903.3183	-0.8728706
38500	-976.9052	0	-976.9052	-0.848578
39000	-891.3597	0	-891.3597	-0.9073239
39500	-835.7126	0	-835.7126	-0.8893888
40000	-816.9829	0	-816.9829	-0.8925884
40500	-896.1632	0	-896.1632	-0.8515501
41000	-904.0288	0	-904.0288	-0.8953972
41500	-838.2874	0	-838.2874	-0.9046523
42000	-948.7113	0	-948.7113	-0.9031589
42500	-934.288	0	-934.288	-0.9002425
43000	-966.5111	0	-966.5111	-0.8393207
43500	-1053.589	0	-1053.589	-0.7528114
44000	-1095.542	0	-1095.542	-0.7456642
44500	-1020.864	0	-1020.864	-0.745588
45000	-993.9178	0	-993.9178	-0.8682748
45500	-1022.196	0	-1022.196	-0.7688044
46000	-1001.297	0	-1001.297	-0.8122206
46500	-1037.242	0	-1037.242	-0.7912723
47000	-1014.093	0	-1014.093	-0.8298533
47500	-1008.664	0	-1008.664	-0.6898626
48000	-956.3027	0	-956.3027	-0.7795746
48500	-1026.89	0	-1026.89	-0.7954262
49000	-948.1402	0	-948.1402	-0.7062778
49500	-1002.882	0	-1002.882	-0.7884133
50000	-1060.238	0	-1060.238	-0.7654899
50500	-945.9575	0	-945.9575	-0.8129525
51000	-978.5115	0	-978.5115	-0.8309261
51500	-1001.257	0	-1001.257	-0.737495
52000	-968.4032	0	-968.4032	-0.7658529
52500	-956.7235	0	-956.7235	-0.7017378
53000	-969.1329	0	-969.1329	-0.6516676
53500	-986.8941	0	-986.8941	-0.7121433
54000	-1049.882	0	-1049.882	-0.7156896
54500	-1045.87	0	-1045.87	-0.5405309
55000	-1005.443	0	-1005.443	-0.6808448
55500	-1015.051	0	-1015.051	-0.666865
56000	-949.2985	0	-949.2985	-0.7132688
56500	-940.8776	0	-940.8776	-0.778979
57000	-988.6546	0	-988.6546	-0.7701466
57500	-1001.316	0	-1001.316	-0.669447
58000	-910.2717	0	-910.2717	-0.7997646
58500	-913.3669	0	-913.3669	-0.7991481
59000	-968.9513	0	-968.9513	-0.8322752
59500	-1024.47	0	-1024.47	-0.8159732
60000	-1028.464	0	-1028.464	-0.8883647
60500	-1065.212	0	-1065.212	-0.8760666
61000	-1047.61	0	-1047.61	-0.85816
61500	-1056.5	0	-1056.5	-0.8661008
62000	-1005.131	0	-1005.131	-0.8178513
62500	-1022.296	0	-1022.296	-0.8178239
63000	-1074.539	0	-1074.539	-0.8610107
63500	-1084.343	0	-1084.343	-0.8769642
64000	-1045.489	0	-1045.489	-0.858492
64500	-1043.35	0	-1043.35	-0.808175
65000	-1030.347	0	-1030.347	-0.8129575
65500	-1011.18	0	-1011.18	-0.8499455
66000	-966.5263	0	-966.5263	-0.7851846
66500	-1070.631	0	-1070.631	-0.7010657
67000	-1048.789	0	-1048.789	-0.8061679
67500	-1059.139	0	-1059.139	-0.734357
68000	-1101.01	0	-1101.01	-0.761256
68500	-1131.598	0	-1131.598	-0.6687671
69000	-1140.189	0	-1140.189	-0.6255562
69500	-1132.832	0	-1132.832	-0.4686048
70000	-1110.812	0	-1110.812	-0.6215429
70500	-1109.45	0	-1109.45	-0.8039928
71000	-1123.701	0	-1123.701	-0.7503999
71500	-1097.715	0	-1097.715	-0.7012063
72000	-1075.54	0	-1075.54	-0.7313049
72500	-1001.833	0	-1001.833	-0.8039139
73000	-1041.637	0	-1041.637	-0.7299744
73500	-1041.314	0	-1041.314	-0.671342
74000	-1065.581	0	-1065.581	-0.7544134
74500	-1016.849	0	-1016.849	-0.7221415
75000	-975.6918	0	-975.6918	-0.8063619
75500	-1069.259	0	-1069.259	-0.6708042
76000	-1139.74	0	-1139.74	-0.5819721
76500	-1127.348	0	-1127.348	-0.506656
77000	-1100.26	0	-1100.26	-0.5306063
77500	-1136.644	0	-1136.644	-0.4188239
78000	-1178.864	0	-1178.864	-0.597037
78500	-1132.487	0	-1132.487	-0.5161306
79000	-1170.039	0	-1170.039	-0.5006782
79500	-1176.702	0	-1176.702	-0.604044
80000	-1118.807	0	-1118.807	-0.4713971
80500	-1081.79	0	-1081.79	-0.4340417
81000	-1087.906	0	-1087.906	-0.5008998
81500	-1073.824	0	-1073.824	-0.477166
82000	-1146.316	0	-1146.316	-0.41905
82500	-1106.435	0	-1106.435	-0.3747089
83000	-1071.092	0	-1071.092	-0.3178366
83500	-1110.902	0	-1110.902	-0.6128015
84000	-1214.837	0	-1214.837	-0.4625719
84500	-1128.715	0	-1128.715	-0.535153
85000	-1206.585	0	-1206.585	-0.485647
85500	-1176.553	0	-1176.553	-0.2990368
86000	-1157.587	0	-1157.587	-0.3623783
86500	-1173.006	0	-1173.006	-0.5115502
87000	-1192.339	0	-1192.339	-0.6261478
87500	-1149.826	0	-1149.826	-0.690939
88000	-1166.407	0	-1166.407	-0.631558
88500	-1172.54	0	-1172.54	-0.481122
89000	-1200.745	0	-1200.745	-0.64473
89500	-1165.242	0	-1165.242	-0.6554833
90000	-1196.752	0	-1196.752	-0.5683506
90500	-1214.809	0	-1214.809	-0.5672017
91000	-1230.982	0	-1230.982	-0.4903932
91500	-1161.695	0	-1161.695	-0.7138851
92000	-1160.732	0	-1160.732	-0.7095941
92500	-1130.909	0	-1130.909	-0.7466237
93000	-1139.516	0	-1139.516	-0.7571789
93500	-1194.751	0	-1194.751	-0.6218865
94000	-1187.081	0	-1187.081	-0.6847655
94500	-1162.32	0	-1162.32	-0.5838047
95000	-1188.714	0	-1188.714	-0.5942936
95500	-1155.381	0	-1155.381	-0.5255521
96000	-1104.914	0	-1104.914	-0.6836274
96500	-1093.671	0	-1093.671	-0.7079559
97000	-1104.541	0	-1104.541	-0.7281328
