Iteration	Posterior	Likelihood	Prior	rho[1][2]
0	-6745.466	0	-6745.466	0.4690958
500	-1185.533	0	-1185.533	0.3079344
1000	-1216.797	0	-1216.797	0.1026938
1500	-1163.849	0	-1163.849	0.1209679
2000	-1138.38	0	-1138.38	0.1229007
2500	-1155.783	0	-1155.783	0.1664543
3000	-1172.92	0	-1172.92	0.2894859
3500	-1132.039	0	-1132.039	0.4847338
4000	-1128.967	0	-1128.967	0.5121418
4500	-1136.101	0	-1136.101	0.4872693
5000	-1139.731	0	-1139.731	0.4722565
5500	-1092.51	0	-1092.51	0.4582092
6000	-1169.09	0	-1169.09	0.5322731
6500	-1088.315	0	-1088.315	0.5772628
7000	-1083.653	0	-1083.653	0.6111033
7500	-1067.347	0	-1067.347	0.6994105
8000	-1094.446	0	-1094.446	0.6683736
8500	-1066.858	0	-1066.858	0.6820593
9000	-1045.527	0	-1045.527	0.581238
9500	-961.6165	0	-961.6165	0.7850417
10000	-1074.431	0	-1074.431	0.6700156
10500	-1082.994	0	-1082.994	0.68866
11000	-1032.749	0	-1032.749	0.6222997
11500	-958.273	0	-958.273	0.7019023
12000	-973.0777	0	-973.0777	0.690718
12500	-1015.582	0	-1015.582	0.7488834
13000	-965.4343	0	-965.4343	0.7801632
13500	-944.1389	0	-944.1389	0.8071538
14000	-896.4239	0	-896.4239	0.7852915
14500	-897.9202	0	-897.9202	0.7597644
15000	-804.0202	0	-804.0202	0.7642164
15500	-850.6665	0	-850.6665	0.7643869
16000	-869.6155	0	-869.6155	0.7618213
16500	-810.654	0	-810.654	0.7697406
17000	-852.7999	0	-852.7999	0.7670358
17500	-890.9402	0	-890.9402	0.7759646
18000	-990.1745	0	-990.1745	0.7525291
18500	-860.0064	0	-860.0064	0.7531722
19000	-956.1029	0	-956.1029	0.7597832
19500	-965.8109	0	-965.8109	0.7090306
20000	-979.7356	0	-979.7356	0.7030938
20500	-1046.56	0	-1046.56	0.6283322
21000	-1038.777	0	-1038.777	0.6316708
21500	-927.8782	0	-927.8782	0.6980008
22000	-962.7937	0	-962.7937	0.7256358
22500	-1022.452	0	-1022.452	0.7093332
23000	-956.8842	0	-956.8842	0.7140913
23500	-974.9478	0	-974.9478	0.7615448
24000	-883.5311	0	-883.5311	0.7597886
24500	-978.0493	0	-978.0493	0.7912224
25000	-965.0673	0	-965.0673	0.7358051
25500	-992.2978	0	-992.2978	0.709822
26000	-964.5376	0	-964.5376	0.6938881
26500	-995.6821	0	-995.6821	0.5724377
27000	-1016.627	0	-1016.627	0.4339788
27500	-1079.82	0	-1079.82	0.4336
28000	-1068.151	0	-1068.151	0.4889855
28500	-1034.211	0	-1034.211	0.4290389
29000	-1138.565	0	-1138.565	0.3707836
29500	-1156.931	0	-1156.931	0.3127154
30000	-1074.967	0	-1074.967	0.5592835
30500	-1091.418	0	-1091.418	0.515518
31000	-1127.784	0	-1127.784	0.5018051
31500	-1089.804	0	-1089.804	0.533545
32000	-1082.073	0	-1082.073	0.5633817
32500	-1078.689	0	-1078.689	0.6839636
33000	-988.6399	0	-988.6399	0.7203277
33500	-1008.612	0	-1008.612	0.7184652
34000	-1101.261	0	-1101.261	0.7100453
34500	-1169.263	0	-1169.263	0.6614915
35000	-1137.676	0	-1137.676	0.5819519
35500	-1164.916	0	-1164.916	0.5753222
36000	-1167.479	0	-1167.479	0.6038377
36500	-1112.28	0	-1112.28	0.764492
37000	-1158.522	0	-1158.522	0.671184
37500	-1169.576	0	-1169.576	0.7899876
38000	-1157.366	0	-1157.366	0.7801386
38500	-1169.779	0	-1169.779	0.7850874
39000	-1219.01	0	-1219.01	0.6927605
39500	-1130.516	0	-1130.516	0.6952253
40000	-1103.616	0	-1103.616	0.630056
40500	-1151.664	0	-1151.664	0.6875064
41000	-1155.979	0	-1155.979	0.6437569
41500	-1180.23	0	-1180.23	0.4881693
42000	-1166.521	0	-1166.521	0.5223253
42500	-1149.484	0	-1149.484	0.538
43000	-1103.486	0	-1103.486	0.5396085
43500	-1181.257	0	-1181.257	0.671576
44000	-1231.849	0	-1231.849	0.6565694
44500	-1156.893	0	-1156.893	0.6311376
45000	-1101.675	0	-1101.675	0.6272634
45500	-1094.8	0	-1094.8	0.693166
46000	-1110.579	0	-1110.579	0.6034131
46500	-1056.717	0	-1056.717	0.6209869
47000	-1040.56	0	-1040.56	0.735507
47500	-979.094	0	-979.094	0.7579377
48000	-1042.86	0	-1042.86	0.7306638
48500	-1110.949	0	-1110.949	0.4574423
49000	-1034.828	0	-1034.828	0.6932978
49500	-987.6217	0	-987.6217	0.8209656
50000	-1027.825	0	-1027.825	0.837774
50500	-1073.922	0	-1073.922	0.7871381
51000	-1121.539	0	-1121.539	0.6307682
51500	-1082.174	0	-1082.174	0.7200022
52000	-1081.142	0	-1081.142	0.6498746
52500	-1108.563	0	-1108.563	0.5708797
53000	-1137.906	0	-1137.906	0.493104
53500	-1035.065	0	-1035.065	0.657877
54000	-971.8506	0	-971.8506	0.6237076
54500	-950.461	0	-950.461	0.688412
55000	-1009.286	0	-1009.286	0.6511398
55500	-905.3449	0	-905.3449	0.7354208
56000	-980.225	0	-980.225	0.7107376
56500	-966.6051	0	-966.6051	0.6941992
57000	-853.9578	0	-853.9578	0.7018117
57500	-873.9882	0	-873.9882	0.6973747
58000	-849.2551	0	-849.2551	0.6950938
58500	-853.4794	0	-853.4794	0.6990937
59000	-1014.25	0	-1014.25	0.6797028
59500	-972.6147	0	-972.6147	0.6515328
60000	-980.7158	0	-980.7158	0.6518916
60500	-1072.881	0	-1072.881	0.6764102
61000	-1055.162	0	-1055.162	0.5338013
61500	-999.0041	0	-999.0041	0.6940948
62000	-980.0503	0	-980.0503	0.7506092
62500	-979.3376	0	-979.3376	0.7948694
63000	-905.5441	0	-905.5441	0.815403
63500	-886.4264	0	-886.4264	0.8778569
64000	-939.8137	0	-939.8137	0.8196222
64500	-934.2144	0	-934.2144	0.8520526
65000	-932.3087	0	-932.3087	0.8551227
65500	-939.5739	0	-939.5739	0.832068
66000	-957.8736	0	-957.8736	0.7879202
66500	-1011.045	0	-1011.045	0.7577717
67000	-1035.736	0	-1035.736	0.7242019
67500	-988.0071	0	-988.0071	0.7557391
68000	-950.422	0	-950.422	0.777763
68500	-1002.681	0	-1002.681	0.7336754
69000	-972.3115	0	-972.3115	0.7591778
69500	-1082.11	0	-1082.11	0.6664886
70000	-1008.55	0	-1008.55	0.6928541
70500	-1030.067	0	-1030.067	0.7366046
71000	-1071.212	0	-1071.212	0.7510581
71500	-955.7036	0	-955.7036	0.7541964
72000	-1035.046	0	-1035.046	0.7946581
72500	-1023.039	0	-1023.039	0.7039508
73000	-1025.635	0	-1025.635	0.6744577
73500	-1066.879	0	-1066.879	0.7004393
74000	-1162.256	0	-1162.256	0.5150454
74500	-1195.409	0	-1195.409	0.6904284
75000	-1129.753	0	-1129.753	0.6641547
75500	-1113.926	0	-1113.926	0.6612475
76000	-977.2596	0	-977.2596	0.7166966
76500	-998.1572	0	-998.1572	0.688335
77000	-1080.032	0	-1080.032	0.5275762
77500	-1046.377	0	-1046.377	0.5576955
78000	-1053.464	0	-1053.464	0.6006507
78500	-1038.64	0	-1038.64	0.5587046
79000	-1036.922	0	-1036.922	0.5730423
79500	-1091.654	0	-1091.654	0.6833762
80000	-1028.363	0	-1028.363	0.8524713
80500	-1016.282	0	-1016.282	0.8287699
81000	-1036.054	0	-1036.054	0.823292
81500	-1033.259	0	-1033.259	0.7886103
82000	-1027.046	0	-1027.046	0.7820284
82500	-1040.121	0	-1040.121	0.7789557
83000	-1026.411	0	-1026.411	0.7334139
83500	-1033.282	0	-1033.282	0.6878196
84000	-1036.205	0	-1036.205	0.7766201
84500	-1038.83	0	-1038.83	0.7476987
85000	-1067.697	0	-1067.697	0.7946922
85500	-1024.92	0	-1024.92	0.8042205
86000	-981.0621	0	-981.0621	0.7948534
86500	-1017.007	0	-1017.007	0.7666817
87000	-982.4461	0	-982.4461	0.7450945
87500	-1035.303	0	-1035.303	0.7990041
88000	-944.3265	0	-944.3265	0.8009511
88500	-1034.841	0	-1034.841	0.7740531
89000	-960.7877	0	-960.7877	0.8556361
89500	-962.4941	0	-962.4941	0.8556827
90000	-1033.293	0	-1033.293	0.8030992
90500	-1111.12	0	-1111.12	0.7456979
91000	-1121.876	0	-1121.876	0.7503812
91500	-1140.782	0	-1140.782	0.6191123
92000	-1128.877	0	-1128.877	0.5868199
92500	-1109.776	0	-1109.776	0.5287717
93000	-1081.157	0	-1081.157	0.7521852
93500	-1031.997	0	-1031.997	0.7179168
94000	-975.9452	0	-975.9452	0.7786336
94500	-987.7716	0	-987.7716	0.8076678
95000	-1014.996	0	-1014.996	0.7997158
95500	-1007.548	0	-1007.548	0.8291665
96000	-1029.437	0	-1029.437	0.7591351
96500	-988.0021	0	-988.0021	0.7790735
97000	-1016.969	0	-1016.969	0.8447659
97500	-1083.252	0	-1083.252	0.7995658
98000	-980.9976	0	-980.9976	0.7881847
98500	-953.3276	0	-953.3276	0.8449251
99000	-902.9388	0	-902.9388	0.8806998
99500	-970.3065	0	-970.3065	0.8291447
100000	-882.6017	0	-882.6017	0.8461454
100500	-1041.429	0	-1041.429	0.7571896
101000	-1030.851	0	-1030.851	0.7700113
101500	-1081.508	0	-1081.508	0.7720919
102000	-1066.778	0	-1066.778	0.8225153
102500	-1032.94	0	-1032.94	0.6705947
103000	-1032.087	0	-1032.087	0.8103289
103500	-1010.38	0	-1010.38	0.8161828
104000	-971.573	0	-971.573	0.8362335
104500	-1047.962	0	-1047.962	0.7966604
105000	-968.8826	0	-968.8826	0.7993985
105500	-897.7719	0	-897.7719	0.8135695
106000	-843.5792	0	-843.5792	0.8285248
106500	-802.1094	0	-802.1094	0.8254309
107000	-867.8437	0	-867.8437	0.8182813
107500	-849.3127	0	-849.3127	0.8141566
108000	-981.2126	0	-981.2126	0.8525241
108500	-910.9156	0	-910.9156	0.8380877
109000	-828.5822	0	-828.5822	0.8245832
109500	-814.5075	0	-814.5075	0.8234298
110000	-679.865	0	-679.865	0.8227003
110500	-708.9291	0	-708.9291	0.8227003
111000	-752.5611	0	-752.5611	0.8250887
111500	-737.1972	0	-737.1972	0.8265057
112000	-765.5859	0	-765.5859	0.8257924
112500	-846.3602	0	-846.3602	0.815272
113000	-799.4436	0	-799.4436	0.8051901
