Iteration	Posterior	Likelihood	Prior	rho[2][4]
0	-6745.466	0	-6745.466	0.1324324
500	-1185.533	0	-1185.533	0.5027069
1000	-1216.797	0	-1216.797	0.4990392
1500	-1163.849	0	-1163.849	0.4629383
2000	-1138.38	0	-1138.38	0.4249067
2500	-1155.783	0	-1155.783	0.2284186
3000	-1172.92	0	-1172.92	0.1558442
3500	-1132.039	0	-1132.039	0.03661147
4000	-1128.967	0	-1128.967	-0.072938
4500	-1136.101	0	-1136.101	0.03140457
5000	-1139.731	0	-1139.731	0.1147833
5500	-1092.51	0	-1092.51	0.1224985
6000	-1169.09	0	-1169.09	-0.02813332
6500	-1088.315	0	-1088.315	0.03670653
7000	-1083.653	0	-1083.653	-0.1261809
7500	-1067.347	0	-1067.347	-0.2514743
8000	-1094.446	0	-1094.446	-0.2409086
8500	-1066.858	0	-1066.858	-0.3052731
9000	-1045.527	0	-1045.527	-0.3012443
9500	-961.6165	0	-961.6165	-0.6042971
10000	-1074.431	0	-1074.431	-0.5315515
10500	-1082.994	0	-1082.994	-0.4507782
11000	-1032.749	0	-1032.749	-0.3102901
11500	-958.273	0	-958.273	-0.4811712
12000	-973.0777	0	-973.0777	-0.482298
12500	-1015.582	0	-1015.582	-0.6215876
13000	-965.4343	0	-965.4343	-0.5715148
13500	-944.1389	0	-944.1389	-0.6013761
14000	-896.4239	0	-896.4239	-0.5550415
14500	-897.9202	0	-897.9202	-0.5524619
15000	-804.0202	0	-804.0202	-0.5474668
15500	-850.6665	0	-850.6665	-0.5303183
16000	-869.6155	0	-869.6155	-0.52894
16500	-810.654	0	-810.654	-0.5140377
17000	-852.7999	0	-852.7999	-0.5306579
17500	-890.9402	0	-890.9402	-0.5503764
18000	-990.1745	0	-990.1745	-0.461117
18500	-860.0064	0	-860.0064	-0.4054672
19000	-956.1029	0	-956.1029	-0.4005557
19500	-965.8109	0	-965.8109	-0.4776108
20000	-979.7356	0	-979.7356	-0.4147768
20500	-1046.56	0	-1046.56	-0.3821094
21000	-1038.777	0	-1038.777	-0.4817772
21500	-927.8782	0	-927.8782	-0.5957529
22000	-962.7937	0	-962.7937	-0.5763079
22500	-1022.452	0	-1022.452	-0.5108271
23000	-956.8842	0	-956.8842	-0.5731799
23500	-974.9478	0	-974.9478	-0.5863335
24000	-883.5311	0	-883.5311	-0.5827629
24500	-978.0493	0	-978.0493	-0.6432694
25000	-965.0673	0	-965.0673	-0.5717913
25500	-992.2978	0	-992.2978	-0.5177231
26000	-964.5376	0	-964.5376	-0.53283
26500	-995.6821	0	-995.6821	-0.3608426
27000	-1016.627	0	-1016.627	-0.3218397
27500	-1079.82	0	-1079.82	-0.2313952
28000	-1068.151	0	-1068.151	-0.2970759
28500	-1034.211	0	-1034.211	-0.1224329
29000	-1138.565	0	-1138.565	-0.1299374
29500	-1156.931	0	-1156.931	-0.1504482
30000	-1074.967	0	-1074.967	-0.3602094
30500	-1091.418	0	-1091.418	-0.3134467
31000	-1127.784	0	-1127.784	-0.2552601
31500	-1089.804	0	-1089.804	-0.2182557
32000	-1082.073	0	-1082.073	-0.1809716
32500	-1078.689	0	-1078.689	-0.2116925
33000	-988.6399	0	-988.6399	-0.2665885
33500	-1008.612	0	-1008.612	-0.4006712
34000	-1101.261	0	-1101.261	-0.3577284
34500	-1169.263	0	-1169.263	-0.3377924
35000	-1137.676	0	-1137.676	-0.2850854
35500	-1164.916	0	-1164.916	-0.1157496
36000	-1167.479	0	-1167.479	-0.1320309
36500	-1112.28	0	-1112.28	-0.3253004
37000	-1158.522	0	-1158.522	-0.2626275
37500	-1169.576	0	-1169.576	-0.4088139
38000	-1157.366	0	-1157.366	-0.3569412
38500	-1169.779	0	-1169.779	-0.4552767
39000	-1219.01	0	-1219.01	-0.5076741
39500	-1130.516	0	-1130.516	-0.4382612
40000	-1103.616	0	-1103.616	-0.4597809
40500	-1151.664	0	-1151.664	-0.3917168
41000	-1155.979	0	-1155.979	-0.09137697
41500	-1180.23	0	-1180.23	-0.1957175
42000	-1166.521	0	-1166.521	-0.4696978
42500	-1149.484	0	-1149.484	-0.4655084
43000	-1103.486	0	-1103.486	-0.4102739
43500	-1181.257	0	-1181.257	-0.5158444
44000	-1231.849	0	-1231.849	-0.4708023
44500	-1156.893	0	-1156.893	-0.5753656
45000	-1101.675	0	-1101.675	-0.6276182
45500	-1094.8	0	-1094.8	-0.6320628
46000	-1110.579	0	-1110.579	-0.501832
46500	-1056.717	0	-1056.717	-0.3249749
47000	-1040.56	0	-1040.56	-0.4724731
47500	-979.094	0	-979.094	-0.4460142
48000	-1042.86	0	-1042.86	-0.5000391
48500	-1110.949	0	-1110.949	-0.2790557
49000	-1034.828	0	-1034.828	-0.460538
49500	-987.6217	0	-987.6217	-0.4993438
50000	-1027.825	0	-1027.825	-0.5269553
50500	-1073.922	0	-1073.922	-0.5702512
51000	-1121.539	0	-1121.539	-0.4401836
51500	-1082.174	0	-1082.174	-0.2143292
52000	-1081.142	0	-1081.142	-0.3991124
52500	-1108.563	0	-1108.563	-0.4457131
53000	-1137.906	0	-1137.906	-0.3148726
53500	-1035.065	0	-1035.065	-0.3175288
54000	-971.8506	0	-971.8506	-0.2198068
54500	-950.461	0	-950.461	-0.3353057
55000	-1009.286	0	-1009.286	-0.2733859
55500	-905.3449	0	-905.3449	-0.380841
56000	-980.225	0	-980.225	-0.2352818
56500	-966.6051	0	-966.6051	-0.21011
57000	-853.9578	0	-853.9578	-0.199108
57500	-873.9882	0	-873.9882	-0.2007355
58000	-849.2551	0	-849.2551	-0.2028614
58500	-853.4794	0	-853.4794	-0.2210884
59000	-1014.25	0	-1014.25	-0.2165994
59500	-972.6147	0	-972.6147	-0.1776619
60000	-980.7158	0	-980.7158	-0.2437458
60500	-1072.881	0	-1072.881	-0.2362059
61000	-1055.162	0	-1055.162	-0.2953611
61500	-999.0041	0	-999.0041	-0.4548102
62000	-980.0503	0	-980.0503	-0.5386737
62500	-979.3376	0	-979.3376	-0.5909177
63000	-905.5441	0	-905.5441	-0.6640976
63500	-886.4264	0	-886.4264	-0.6673462
64000	-939.8137	0	-939.8137	-0.6072456
64500	-934.2144	0	-934.2144	-0.5659372
65000	-932.3087	0	-932.3087	-0.6289364
65500	-939.5739	0	-939.5739	-0.714269
66000	-957.8736	0	-957.8736	-0.6694054
66500	-1011.045	0	-1011.045	-0.4923092
67000	-1035.736	0	-1035.736	-0.5531222
67500	-988.0071	0	-988.0071	-0.4349637
68000	-950.422	0	-950.422	-0.4105265
68500	-1002.681	0	-1002.681	-0.3839278
69000	-972.3115	0	-972.3115	-0.3828321
69500	-1082.11	0	-1082.11	-0.2544846
70000	-1008.55	0	-1008.55	-0.2810675
70500	-1030.067	0	-1030.067	-0.3380782
71000	-1071.212	0	-1071.212	-0.5804953
71500	-955.7036	0	-955.7036	-0.4597474
72000	-1035.046	0	-1035.046	-0.4217285
72500	-1023.039	0	-1023.039	-0.2931277
73000	-1025.635	0	-1025.635	-0.2515251
73500	-1066.879	0	-1066.879	-0.1826173
74000	-1162.256	0	-1162.256	-0.02913959
74500	-1195.409	0	-1195.409	0.03577499
75000	-1129.753	0	-1129.753	-0.06479913
75500	-1113.926	0	-1113.926	-0.2148941
76000	-977.2596	0	-977.2596	-0.2379902
76500	-998.1572	0	-998.1572	-0.2656021
77000	-1080.032	0	-1080.032	-0.2233764
77500	-1046.377	0	-1046.377	-0.1359179
78000	-1053.464	0	-1053.464	-0.1529986
78500	-1038.64	0	-1038.64	-0.226731
79000	-1036.922	0	-1036.922	-0.2262984
79500	-1091.654	0	-1091.654	-0.2701183
80000	-1028.363	0	-1028.363	-0.5479174
80500	-1016.282	0	-1016.282	-0.4905721
81000	-1036.054	0	-1036.054	-0.4431081
81500	-1033.259	0	-1033.259	-0.2988326
82000	-1027.046	0	-1027.046	-0.3998592
82500	-1040.121	0	-1040.121	-0.2378539
83000	-1026.411	0	-1026.411	-0.03327759
83500	-1033.282	0	-1033.282	-0.03808748
84000	-1036.205	0	-1036.205	-0.112897
84500	-1038.83	0	-1038.83	-0.09481514
85000	-1067.697	0	-1067.697	-0.2964346
85500	-1024.92	0	-1024.92	-0.1553977
86000	-981.0621	0	-981.0621	-0.1218742
86500	-1017.007	0	-1017.007	-0.106339
87000	-982.4461	0	-982.4461	-0.08877812
87500	-1035.303	0	-1035.303	-0.155809
88000	-944.3265	0	-944.3265	-0.2565937
88500	-1034.841	0	-1034.841	-0.2399319
89000	-960.7877	0	-960.7877	-0.5488156
89500	-962.4941	0	-962.4941	-0.4420965
90000	-1033.293	0	-1033.293	-0.3706832
90500	-1111.12	0	-1111.12	-0.3371312
91000	-1121.876	0	-1121.876	-0.2186622
91500	-1140.782	0	-1140.782	-0.3172098
92000	-1128.877	0	-1128.877	-0.1122145
92500	-1109.776	0	-1109.776	-0.5617911
93000	-1081.157	0	-1081.157	-0.6626346
93500	-1031.997	0	-1031.997	-0.4644538
94000	-975.9452	0	-975.9452	-0.631843
94500	-987.7716	0	-987.7716	-0.7619483
95000	-1014.996	0	-1014.996	-0.6564564
95500	-1007.548	0	-1007.548	-0.690937
96000	-1029.437	0	-1029.437	-0.6205953
96500	-988.0021	0	-988.0021	-0.5721973
97000	-1016.969	0	-1016.969	-0.6528033
97500	-1083.252	0	-1083.252	-0.6613891
98000	-980.9976	0	-980.9976	-0.6682132
98500	-953.3276	0	-953.3276	-0.6684009
99000	-902.9388	0	-902.9388	-0.7020149
99500	-970.3065	0	-970.3065	-0.7045263
100000	-882.6017	0	-882.6017	-0.7807606
100500	-1041.429	0	-1041.429	-0.5809722
101000	-1030.851	0	-1030.851	-0.7312493
101500	-1081.508	0	-1081.508	-0.6378576
102000	-1066.778	0	-1066.778	-0.528945
102500	-1032.94	0	-1032.94	-0.7513134
103000	-1032.087	0	-1032.087	-0.7406884
103500	-1010.38	0	-1010.38	-0.8110287
104000	-971.573	0	-971.573	-0.8130678
104500	-1047.962	0	-1047.962	-0.7989052
105000	-968.8826	0	-968.8826	-0.779682
105500	-897.7719	0	-897.7719	-0.6447294
106000	-843.5792	0	-843.5792	-0.5996277
106500	-802.1094	0	-802.1094	-0.5916536
107000	-867.8437	0	-867.8437	-0.5738775
107500	-849.3127	0	-849.3127	-0.5698361
108000	-981.2126	0	-981.2126	-0.5528422
108500	-910.9156	0	-910.9156	-0.496116
109000	-828.5822	0	-828.5822	-0.4896143
109500	-814.5075	0	-814.5075	-0.4873502
110000	-679.865	0	-679.865	-0.4849131
110500	-708.9291	0	-708.9291	-0.4849829
111000	-752.5611	0	-752.5611	-0.4899461
111500	-737.1972	0	-737.1972	-0.4864346
112000	-765.5859	0	-765.5859	-0.4892065
112500	-846.3602	0	-846.3602	-0.5056446
113000	-799.4436	0	-799.4436	-0.4877362
113500	-728.9797	0	-728.9797	-0.483176
114000	-708.9337	0	-708.9337	-0.4842546
114500	-686.1867	0	-686.1867	-0.4832685
115000	-689.1493	0	-689.1493	-0.4856186
115500	-673.8807	0	-673.8807	-0.4843803
116000	-750.9469	0	-750.9469	-0.4833925
116500	-674.4085	0	-674.4085	-0.4801174
117000	-629.0137	0	-629.0137	-0.4796266
