Iteration	Posterior	Likelihood	Prior	rho[1][4]
0	-6745.466	0	-6745.466	-0.5419503
500	-1185.533	0	-1185.533	-0.4858495
1000	-1216.797	0	-1216.797	-0.6361973
1500	-1163.849	0	-1163.849	-0.7250308
2000	-1138.38	0	-1138.38	-0.7690557
2500	-1155.783	0	-1155.783	-0.7429808
3000	-1172.92	0	-1172.92	-0.7437004
3500	-1132.039	0	-1132.039	-0.7069355
4000	-1128.967	0	-1128.967	-0.7405065
4500	-1136.101	0	-1136.101	-0.7285311
5000	-1139.731	0	-1139.731	-0.7306666
5500	-1092.51	0	-1092.51	-0.7581418
6000	-1169.09	0	-1169.09	-0.7312385
6500	-1088.315	0	-1088.315	-0.7169975
7000	-1083.653	0	-1083.653	-0.7893423
7500	-1067.347	0	-1067.347	-0.7620731
8000	-1094.446	0	-1094.446	-0.7909826
8500	-1066.858	0	-1066.858	-0.8116756
9000	-1045.527	0	-1045.527	-0.8877852
9500	-961.6165	0	-961.6165	-0.9205787
10000	-1074.431	0	-1074.431	-0.8936675
10500	-1082.994	0	-1082.994	-0.8581575
11000	-1032.749	0	-1032.749	-0.8803563
11500	-958.273	0	-958.273	-0.9362844
12000	-973.0777	0	-973.0777	-0.933372
12500	-1015.582	0	-1015.582	-0.928288
13000	-965.4343	0	-965.4343	-0.9247939
13500	-944.1389	0	-944.1389	-0.929787
14000	-896.4239	0	-896.4239	-0.934707
14500	-897.9202	0	-897.9202	-0.9439742
15000	-804.0202	0	-804.0202	-0.9515079
15500	-850.6665	0	-850.6665	-0.9427393
16000	-869.6155	0	-869.6155	-0.9390832
16500	-810.654	0	-810.654	-0.9331027
17000	-852.7999	0	-852.7999	-0.9395535
17500	-890.9402	0	-890.9402	-0.9319573
18000	-990.1745	0	-990.1745	-0.8870466
18500	-860.0064	0	-860.0064	-0.8952358
19000	-956.1029	0	-956.1029	-0.8726183
19500	-965.8109	0	-965.8109	-0.9018275
20000	-979.7356	0	-979.7356	-0.889387
20500	-1046.56	0	-1046.56	-0.8551192
21000	-1038.777	0	-1038.777	-0.9013865
21500	-927.8782	0	-927.8782	-0.9119605
22000	-962.7937	0	-962.7937	-0.9264716
22500	-1022.452	0	-1022.452	-0.9167057
23000	-956.8842	0	-956.8842	-0.9390164
23500	-974.9478	0	-974.9478	-0.9297085
24000	-883.5311	0	-883.5311	-0.9405494
24500	-978.0493	0	-978.0493	-0.9168076
25000	-965.0673	0	-965.0673	-0.932011
25500	-992.2978	0	-992.2978	-0.935767
26000	-964.5376	0	-964.5376	-0.9441903
26500	-995.6821	0	-995.6821	-0.9395604
27000	-1016.627	0	-1016.627	-0.9421243
27500	-1079.82	0	-1079.82	-0.9223545
28000	-1068.151	0	-1068.151	-0.9317805
28500	-1034.211	0	-1034.211	-0.914796
29000	-1138.565	0	-1138.565	-0.9001561
29500	-1156.931	0	-1156.931	-0.8585894
30000	-1074.967	0	-1074.967	-0.8584464
30500	-1091.418	0	-1091.418	-0.87623
31000	-1127.784	0	-1127.784	-0.8531957
31500	-1089.804	0	-1089.804	-0.8653934
32000	-1082.073	0	-1082.073	-0.7781748
32500	-1078.689	0	-1078.689	-0.7311316
33000	-988.6399	0	-988.6399	-0.8179375
33500	-1008.612	0	-1008.612	-0.8401492
34000	-1101.261	0	-1101.261	-0.7771718
34500	-1169.263	0	-1169.263	-0.7108248
35000	-1137.676	0	-1137.676	-0.7759718
35500	-1164.916	0	-1164.916	-0.5428491
36000	-1167.479	0	-1167.479	-0.5730967
36500	-1112.28	0	-1112.28	-0.6705301
37000	-1158.522	0	-1158.522	-0.6504009
37500	-1169.576	0	-1169.576	-0.472203
38000	-1157.366	0	-1157.366	-0.3586423
38500	-1169.779	0	-1169.779	-0.5802176
39000	-1219.01	0	-1219.01	-0.603034
39500	-1130.516	0	-1130.516	-0.748951
40000	-1103.616	0	-1103.616	-0.794835
40500	-1151.664	0	-1151.664	-0.6571334
41000	-1155.979	0	-1155.979	-0.5557358
41500	-1180.23	0	-1180.23	-0.6987443
42000	-1166.521	0	-1166.521	-0.6916919
42500	-1149.484	0	-1149.484	-0.6402779
43000	-1103.486	0	-1103.486	-0.81893
43500	-1181.257	0	-1181.257	-0.6880963
44000	-1231.849	0	-1231.849	-0.5460823
44500	-1156.893	0	-1156.893	-0.7700332
45000	-1101.675	0	-1101.675	-0.7974948
45500	-1094.8	0	-1094.8	-0.7711347
46000	-1110.579	0	-1110.579	-0.7927575
46500	-1056.717	0	-1056.717	-0.8052889
47000	-1040.56	0	-1040.56	-0.8068628
47500	-979.094	0	-979.094	-0.8736777
48000	-1042.86	0	-1042.86	-0.8224428
48500	-1110.949	0	-1110.949	-0.660993
49000	-1034.828	0	-1034.828	-0.8144162
49500	-987.6217	0	-987.6217	-0.7983671
50000	-1027.825	0	-1027.825	-0.7976881
50500	-1073.922	0	-1073.922	-0.7793973
51000	-1121.539	0	-1121.539	-0.7928769
51500	-1082.174	0	-1082.174	-0.6939309
52000	-1081.142	0	-1081.142	-0.7696214
52500	-1108.563	0	-1108.563	-0.7697608
53000	-1137.906	0	-1137.906	-0.7410255
53500	-1035.065	0	-1035.065	-0.795437
54000	-971.8506	0	-971.8506	-0.8257894
54500	-950.461	0	-950.461	-0.834462
55000	-1009.286	0	-1009.286	-0.8236386
55500	-905.3449	0	-905.3449	-0.8379976
56000	-980.225	0	-980.225	-0.8062369
56500	-966.6051	0	-966.6051	-0.8183282
57000	-853.9578	0	-853.9578	-0.8207529
57500	-873.9882	0	-873.9882	-0.8257966
58000	-849.2551	0	-849.2551	-0.8254622
58500	-853.4794	0	-853.4794	-0.8295512
59000	-1014.25	0	-1014.25	-0.8206669
59500	-972.6147	0	-972.6147	-0.8291408
60000	-980.7158	0	-980.7158	-0.8486573
60500	-1072.881	0	-1072.881	-0.7516516
61000	-1055.162	0	-1055.162	-0.875758
61500	-999.0041	0	-999.0041	-0.9031032
62000	-980.0503	0	-980.0503	-0.9079286
62500	-979.3376	0	-979.3376	-0.9019772
63000	-905.5441	0	-905.5441	-0.9297389
63500	-886.4264	0	-886.4264	-0.8885919
64000	-939.8137	0	-939.8137	-0.8997942
64500	-934.2144	0	-934.2144	-0.8730858
65000	-932.3087	0	-932.3087	-0.8955512
65500	-939.5739	0	-939.5739	-0.9297862
66000	-957.8736	0	-957.8736	-0.92466
66500	-1011.045	0	-1011.045	-0.8551218
67000	-1035.736	0	-1035.736	-0.8860907
67500	-988.0071	0	-988.0071	-0.847292
68000	-950.422	0	-950.422	-0.8378655
68500	-1002.681	0	-1002.681	-0.7999336
69000	-972.3115	0	-972.3115	-0.8169252
69500	-1082.11	0	-1082.11	-0.786559
70000	-1008.55	0	-1008.55	-0.8292067
70500	-1030.067	0	-1030.067	-0.7998131
71000	-1071.212	0	-1071.212	-0.7356051
71500	-955.7036	0	-955.7036	-0.7419219
72000	-1035.046	0	-1035.046	-0.7534372
72500	-1023.039	0	-1023.039	-0.7959376
73000	-1025.635	0	-1025.635	-0.7902493
73500	-1066.879	0	-1066.879	-0.7447845
74000	-1162.256	0	-1162.256	-0.6028167
74500	-1195.409	0	-1195.409	-0.484856
75000	-1129.753	0	-1129.753	-0.6030316
75500	-1113.926	0	-1113.926	-0.7031161
76000	-977.2596	0	-977.2596	-0.7526981
76500	-998.1572	0	-998.1572	-0.7594778
77000	-1080.032	0	-1080.032	-0.8147554
77500	-1046.377	0	-1046.377	-0.7679664
78000	-1053.464	0	-1053.464	-0.7740501
78500	-1038.64	0	-1038.64	-0.8414196
79000	-1036.922	0	-1036.922	-0.7923212
79500	-1091.654	0	-1091.654	-0.653214
80000	-1028.363	0	-1028.363	-0.7500518
80500	-1016.282	0	-1016.282	-0.7788916
81000	-1036.054	0	-1036.054	-0.7154038
81500	-1033.259	0	-1033.259	-0.6495471
82000	-1027.046	0	-1027.046	-0.6645387
82500	-1040.121	0	-1040.121	-0.6075906
83000	-1026.411	0	-1026.411	-0.6049525
83500	-1033.282	0	-1033.282	-0.6632992
84000	-1036.205	0	-1036.205	-0.6407077
84500	-1038.83	0	-1038.83	-0.6713424
85000	-1067.697	0	-1067.697	-0.6879846
85500	-1024.92	0	-1024.92	-0.6336249
86000	-981.0621	0	-981.0621	-0.6351116
86500	-1017.007	0	-1017.007	-0.6470567
87000	-982.4461	0	-982.4461	-0.6716386
87500	-1035.303	0	-1035.303	-0.6232319
88000	-944.3265	0	-944.3265	-0.6975535
88500	-1034.841	0	-1034.841	-0.6948566
89000	-960.7877	0	-960.7877	-0.8080276
89500	-962.4941	0	-962.4941	-0.75417
90000	-1033.293	0	-1033.293	-0.6439303
90500	-1111.12	0	-1111.12	-0.609809
91000	-1121.876	0	-1121.876	-0.5958834
91500	-1140.782	0	-1140.782	-0.6896286
92000	-1128.877	0	-1128.877	-0.7046052
92500	-1109.776	0	-1109.776	-0.7484072
93000	-1081.157	0	-1081.157	-0.747839
93500	-1031.997	0	-1031.997	-0.7394481
94000	-975.9452	0	-975.9452	-0.8931588
94500	-987.7716	0	-987.7716	-0.9258629
95000	-1014.996	0	-1014.996	-0.8625248
95500	-1007.548	0	-1007.548	-0.8859829
96000	-1029.437	0	-1029.437	-0.9068313
96500	-988.0021	0	-988.0021	-0.8807151
97000	-1016.969	0	-1016.969	-0.8330331
97500	-1083.252	0	-1083.252	-0.7592311
98000	-980.9976	0	-980.9976	-0.7846612
98500	-953.3276	0	-953.3276	-0.8188974
99000	-902.9388	0	-902.9388	-0.8360649
99500	-970.3065	0	-970.3065	-0.834473
100000	-882.6017	0	-882.6017	-0.8044197
100500	-1041.429	0	-1041.429	-0.7539236
101000	-1030.851	0	-1030.851	-0.8257503
101500	-1081.508	0	-1081.508	-0.7121078
102000	-1066.778	0	-1066.778	-0.6953889
102500	-1032.94	0	-1032.94	-0.6937547
103000	-1032.087	0	-1032.087	-0.7263507
103500	-1010.38	0	-1010.38	-0.7559553
104000	-971.573	0	-971.573	-0.8489205
104500	-1047.962	0	-1047.962	-0.7133167
105000	-968.8826	0	-968.8826	-0.7961425
105500	-897.7719	0	-897.7719	-0.8115207
106000	-843.5792	0	-843.5792	-0.7925265
106500	-802.1094	0	-802.1094	-0.7911387
107000	-867.8437	0	-867.8437	-0.7895442
107500	-849.3127	0	-849.3127	-0.7885903
108000	-981.2126	0	-981.2126	-0.7548489
108500	-910.9156	0	-910.9156	-0.795465
109000	-828.5822	0	-828.5822	-0.814437
109500	-814.5075	0	-814.5075	-0.8193557
110000	-679.865	0	-679.865	-0.8189096
110500	-708.9291	0	-708.9291	-0.8190912
111000	-752.5611	0	-752.5611	-0.8180325
111500	-737.1972	0	-737.1972	-0.8167783
112000	-765.5859	0	-765.5859	-0.8173432
112500	-846.3602	0	-846.3602	-0.8150762
113000	-799.4436	0	-799.4436	-0.8162082
113500	-728.9797	0	-728.9797	-0.8177059
114000	-708.9337	0	-708.9337	-0.8186681
114500	-686.1867	0	-686.1867	-0.8189353
115000	-689.1493	0	-689.1493	-0.8193436
115500	-673.8807	0	-673.8807	-0.8193436
116000	-750.9469	0	-750.9469	-0.8182202
116500	-674.4085	0	-674.4085	-0.8175487
117000	-629.0137	0	-629.0137	-0.8186273
117500	-635.4064	0	-635.4064	-0.8181445
118000	-675.9889	0	-675.9889	-0.8181445
118500	-665.7394	0	-665.7394	-0.8178879
119000	-645.954	0	-645.954	-0.8183154
119500	-720.3631	0	-720.3631	-0.8174818
120000	-701.7012	0	-701.7012	-0.8177414
120500	-735.8328	0	-735.8328	-0.8175828
121000	-688.5852	0	-688.5852	-0.8189477
121500	-728.2496	0	-728.2496	-0.819015
122000	-664.4156	0	-664.4156	-0.8222958
122500	-669.4229	0	-669.4229	-0.8221863
123000	-760.2117	0	-760.2117	-0.8206385
123500	-648.6307	0	-648.6307	-0.82022
124000	-670.8708	0	-670.8708	-0.8206704
124500	-652.645	0	-652.645	-0.8208116
125000	-732.7891	0	-732.7891	-0.8194178
125500	-728.9129	0	-728.9129	-0.8190486
126000	-746.503	0	-746.503	-0.8200979
126500	-730.1362	0	-730.1362	-0.8217159
127000	-745.3282	0	-745.3282	-0.8218475
127500	-750.9718	0	-750.9718	-0.8191615
128000	-781.2483	0	-781.2483	-0.8148217
128500	-730.1357	0	-730.1357	-0.8148497
129000	-729.535	0	-729.535	-0.8165214
129500	-657.981	0	-657.981	-0.8172392
130000	-682.2781	0	-682.2781	-0.8172392
130500	-718.8947	0	-718.8947	-0.8169142
131000	-728.2394	0	-728.2394	-0.816144
131500	-820.989	0	-820.989	-0.816144
132000	-823.0708	0	-823.0708	-0.8158667
132500	-834.4051	0	-834.4051	-0.8164021
133000	-837.7415	0	-837.7415	-0.8149044
133500	-824.0135	0	-824.0135	-0.8115782
134000	-810.5637	0	-810.5637	-0.8095793
134500	-773.5519	0	-773.5519	-0.810196
135000	-817.6508	0	-817.6508	-0.8092485
135500	-820.6932	0	-820.6932	-0.8055525
136000	-804.6032	0	-804.6032	-0.8077803
136500	-801.8917	0	-801.8917	-0.8074522
137000	-835.8363	0	-835.8363	-0.8135127
