Iteration	Posterior	Likelihood	Prior	rho[2][3]
0	-6745.466	0	-6745.466	0.7074229
500	-1185.533	0	-1185.533	-0.3743312
1000	-1216.797	0	-1216.797	-0.4541805
1500	-1163.849	0	-1163.849	-0.4541107
2000	-1138.38	0	-1138.38	-0.2908936
2500	-1155.783	0	-1155.783	-0.3387735
3000	-1172.92	0	-1172.92	-0.3627135
3500	-1132.039	0	-1132.039	-0.2445281
4000	-1128.967	0	-1128.967	-0.1720132
4500	-1136.101	0	-1136.101	-0.1749268
5000	-1139.731	0	-1139.731	-0.2388561
5500	-1092.51	0	-1092.51	-0.08880786
6000	-1169.09	0	-1169.09	-0.05199482
6500	-1088.315	0	-1088.315	0.0789145
7000	-1083.653	0	-1083.653	-0.04779763
7500	-1067.347	0	-1067.347	-0.1021812
8000	-1094.446	0	-1094.446	-0.07713149
8500	-1066.858	0	-1066.858	-0.1111557
9000	-1045.527	0	-1045.527	-0.2924774
9500	-961.6165	0	-961.6165	-0.1258302
10000	-1074.431	0	-1074.431	-0.08068515
10500	-1082.994	0	-1082.994	0.1964207
11000	-1032.749	0	-1032.749	0.248433
11500	-958.273	0	-958.273	0.08977048
12000	-973.0777	0	-973.0777	0.1162394
12500	-1015.582	0	-1015.582	0.1476589
13000	-965.4343	0	-965.4343	0.1134042
13500	-944.1389	0	-944.1389	0.1574567
14000	-896.4239	0	-896.4239	0.001253274
14500	-897.9202	0	-897.9202	0.09529917
15000	-804.0202	0	-804.0202	0.1049205
15500	-850.6665	0	-850.6665	0.1386258
16000	-869.6155	0	-869.6155	0.1574628
16500	-810.654	0	-810.654	0.2858263
17000	-852.7999	0	-852.7999	0.1966
17500	-890.9402	0	-890.9402	0.09416059
18000	-990.1745	0	-990.1745	-0.03025289
18500	-860.0064	0	-860.0064	0.08724096
19000	-956.1029	0	-956.1029	0.02850456
19500	-965.8109	0	-965.8109	0.1330371
20000	-979.7356	0	-979.7356	-0.06841767
20500	-1046.56	0	-1046.56	0.05544465
21000	-1038.777	0	-1038.777	0.2079097
21500	-927.8782	0	-927.8782	0.07996245
22000	-962.7937	0	-962.7937	0.01580561
22500	-1022.452	0	-1022.452	0.2900697
23000	-956.8842	0	-956.8842	0.1728228
23500	-974.9478	0	-974.9478	-0.04020215
24000	-883.5311	0	-883.5311	0.04919796
24500	-978.0493	0	-978.0493	0.1629305
25000	-965.0673	0	-965.0673	0.1121445
25500	-992.2978	0	-992.2978	-0.1125621
26000	-964.5376	0	-964.5376	-0.06211244
26500	-995.6821	0	-995.6821	-0.2326922
27000	-1016.627	0	-1016.627	-0.4414677
27500	-1079.82	0	-1079.82	-0.2203972
28000	-1068.151	0	-1068.151	0.02656904
28500	-1034.211	0	-1034.211	-0.161903
29000	-1138.565	0	-1138.565	0.06125933
29500	-1156.931	0	-1156.931	0.0889593
30000	-1074.967	0	-1074.967	-0.137827
30500	-1091.418	0	-1091.418	-0.1178371
31000	-1127.784	0	-1127.784	-0.1801536
31500	-1089.804	0	-1089.804	-0.2334256
32000	-1082.073	0	-1082.073	-0.1445694
32500	-1078.689	0	-1078.689	-0.2713407
33000	-988.6399	0	-988.6399	-0.2415416
33500	-1008.612	0	-1008.612	0.1201632
34000	-1101.261	0	-1101.261	0.1339303
34500	-1169.263	0	-1169.263	-0.03060732
35000	-1137.676	0	-1137.676	-0.1347798
35500	-1164.916	0	-1164.916	-0.1193744
36000	-1167.479	0	-1167.479	0.1472448
36500	-1112.28	0	-1112.28	0.07625825
37000	-1158.522	0	-1158.522	0.2349744
37500	-1169.576	0	-1169.576	0.009975247
