Iteration	Posterior	Likelihood	Prior	rho[1][2]
0	-2767.094	0	-2767.094	0.2453382
500	-1833.808	0	-1833.808	-0.03027651
1000	-1810.64	0	-1810.64	0.1806302
1500	-1789.017	0	-1789.017	0.2549342
2000	-1738.503	0	-1738.503	0.2496592
2500	-1747.798	0	-1747.798	0.1422289
3000	-1702.748	0	-1702.748	0.2196593
3500	-1715.047	0	-1715.047	0.2849764
4000	-1743.436	0	-1743.436	0.1633813
4500	-1660.366	0	-1660.366	0.368469
5000	-1653.002	0	-1653.002	0.3845923
5500	-1644.417	0	-1644.417	0.3033076
6000	-1671.011	0	-1671.011	0.06433745
6500	-1694.815	0	-1694.815	0.295482
7000	-1652.267	0	-1652.267	0.4324789
7500	-1676.815	0	-1676.815	0.3298085
8000	-1657.212	0	-1657.212	0.380182
8500	-1646.412	0	-1646.412	0.1889025
9000	-1629.817	0	-1629.817	0.5453917
9500	-1682.457	0	-1682.457	0.2967701
10000	-1585.742	0	-1585.742	0.5732565
10500	-1626.512	0	-1626.512	0.3115362
11000	-1649.935	0	-1649.935	0.3778216
11500	-1611	0	-1611	0.4762694
12000	-1647.121	0	-1647.121	0.5382027
12500	-1637.222	0	-1637.222	0.3483224
13000	-1634.307	0	-1634.307	0.432771
13500	-1710.281	0	-1710.281	0.3450169
14000	-1641.434	0	-1641.434	0.3156103
14500	-1633.002	0	-1633.002	0.5237932
15000	-1654.661	0	-1654.661	0.3273865
15500	-1672.531	0	-1672.531	0.1129906
16000	-1570.103	0	-1570.103	0.08954182
16500	-1599.341	0	-1599.341	0.3842785
17000	-1498.971	0	-1498.971	0.1633186
17500	-1543.947	0	-1543.947	0.307666
18000	-1559.423	0	-1559.423	0.3420365
18500	-1625.698	0	-1625.698	0.3789366
19000	-1595.907	0	-1595.907	0.1742697
19500	-1597.718	0	-1597.718	0.4443781
20000	-1628.388	0	-1628.388	0.2861524
20500	-1598.409	0	-1598.409	0.2153772
21000	-1615.475	0	-1615.475	0.1500454
21500	-1600.019	0	-1600.019	0.2761696
22000	-1607.516	0	-1607.516	0.2942781
22500	-1651.162	0	-1651.162	0.2687411
23000	-1562.768	0	-1562.768	0.6148986
23500	-1543.11	0	-1543.11	0.629668
24000	-1500.023	0	-1500.023	0.5554171
24500	-1529.498	0	-1529.498	0.6155045
25000	-1528.523	0	-1528.523	0.5680485
25500	-1566.233	0	-1566.233	0.6200462
26000	-1565.615	0	-1565.615	0.4743188
26500	-1536.912	0	-1536.912	0.4085201
27000	-1596.738	0	-1596.738	0.5334867
27500	-1520.693	0	-1520.693	0.5677458
28000	-1574.362	0	-1574.362	0.5408088
28500	-1593.069	0	-1593.069	0.3838854
29000	-1568.107	0	-1568.107	0.3684461
29500	-1561.379	0	-1561.379	0.3488221
30000	-1555.988	0	-1555.988	0.2089862
30500	-1586.861	0	-1586.861	0.3423778
31000	-1541.078	0	-1541.078	0.4238553
31500	-1564.972	0	-1564.972	0.5192088
32000	-1573.671	0	-1573.671	0.4148567
32500	-1578.188	0	-1578.188	0.5652334
33000	-1584.933	0	-1584.933	0.5441655
33500	-1647.742	0	-1647.742	0.3670065
34000	-1646.651	0	-1646.651	0.2953448
34500	-1615.477	0	-1615.477	0.4559452
35000	-1595.85	0	-1595.85	0.4461172
35500	-1594.776	0	-1594.776	0.325204
36000	-1599.007	0	-1599.007	0.3102669
36500	-1562.7	0	-1562.7	0.5533195
37000	-1570.442	0	-1570.442	0.359846
37500	-1583.729	0	-1583.729	0.336631
38000	-1559.956	0	-1559.956	0.2303404
38500	-1540.706	0	-1540.706	0.1593514
39000	-1539.188	0	-1539.188	0.2868514
39500	-1504.775	0	-1504.775	0.2915068
40000	-1460.643	0	-1460.643	0.4205782
40500	-1572.402	0	-1572.402	0.3997609
41000	-1499.867	0	-1499.867	0.5081159
41500	-1554.459	0	-1554.459	0.4589942
42000	-1564.081	0	-1564.081	0.314347
42500	-1611.642	0	-1611.642	0.5829291
43000	-1559.631	0	-1559.631	0.5129809
43500	-1546.896	0	-1546.896	0.297323
44000	-1526.823	0	-1526.823	0.2628682
44500	-1585.789	0	-1585.789	0.444823
45000	-1510.764	0	-1510.764	0.5140846
45500	-1552.8	0	-1552.8	0.4694903
46000	-1567.132	0	-1567.132	0.469481
46500	-1482.78	0	-1482.78	0.4859429
47000	-1599.632	0	-1599.632	0.2265679
47500	-1596.586	0	-1596.586	0.1449534
48000	-1526.387	0	-1526.387	0.05908964
48500	-1525.308	0	-1525.308	0.1992206
49000	-1534.618	0	-1534.618	0.06005314
49500	-1569.467	0	-1569.467	0.2100546
50000	-1556.234	0	-1556.234	0.4485084
50500	-1469.916	0	-1469.916	0.630244
51000	-1534.29	0	-1534.29	0.4775307
51500	-1504.114	0	-1504.114	0.4333348
52000	-1494.628	0	-1494.628	0.4812744
