Iteration	Posterior	Likelihood	Prior	rho[2][4]
0	-2767.094	0	-2767.094	0.389474
500	-1833.808	0	-1833.808	0.4308904
1000	-1810.64	0	-1810.64	0.03448004
1500	-1789.017	0	-1789.017	0.02334995
2000	-1738.503	0	-1738.503	0.1068597
2500	-1747.798	0	-1747.798	-0.03234365
3000	-1702.748	0	-1702.748	0.06035002
3500	-1715.047	0	-1715.047	0.009852962
4000	-1743.436	0	-1743.436	0.1493892
4500	-1660.366	0	-1660.366	-0.01221314
5000	-1653.002	0	-1653.002	0.09275569
5500	-1644.417	0	-1644.417	-0.08634627
6000	-1671.011	0	-1671.011	0.02003317
6500	-1694.815	0	-1694.815	0.05708247
7000	-1652.267	0	-1652.267	-0.05482541
7500	-1676.815	0	-1676.815	0.0628998
8000	-1657.212	0	-1657.212	0.1323456
8500	-1646.412	0	-1646.412	-0.03297667
9000	-1629.817	0	-1629.817	-0.06499136
9500	-1682.457	0	-1682.457	-0.1145596
10000	-1585.742	0	-1585.742	-0.1235989
10500	-1626.512	0	-1626.512	-0.08521696
11000	-1649.935	0	-1649.935	-0.08180137
11500	-1611	0	-1611	-0.21401
12000	-1647.121	0	-1647.121	-0.2620933
12500	-1637.222	0	-1637.222	-0.3144909
13000	-1634.307	0	-1634.307	-0.2093482
13500	-1710.281	0	-1710.281	-0.1983828
14000	-1641.434	0	-1641.434	-0.1685019
14500	-1633.002	0	-1633.002	-0.05005777
15000	-1654.661	0	-1654.661	-0.2516188
15500	-1672.531	0	-1672.531	0.02446043
16000	-1570.103	0	-1570.103	-0.09116241
16500	-1599.341	0	-1599.341	-0.04855384
17000	-1498.971	0	-1498.971	-0.3235817
17500	-1543.947	0	-1543.947	-0.3557007
18000	-1559.423	0	-1559.423	-0.1665109
18500	-1625.698	0	-1625.698	-0.2012282
19000	-1595.907	0	-1595.907	-0.19545
19500	-1597.718	0	-1597.718	-0.2369425
20000	-1628.388	0	-1628.388	-0.2504506
20500	-1598.409	0	-1598.409	-0.3404112
21000	-1615.475	0	-1615.475	-0.3007461
21500	-1600.019	0	-1600.019	0.2062195
22000	-1607.516	0	-1607.516	-0.2577825
22500	-1651.162	0	-1651.162	-0.259906
23000	-1562.768	0	-1562.768	-0.1283029
23500	-1543.11	0	-1543.11	-0.1264505
24000	-1500.023	0	-1500.023	-0.3484474
24500	-1529.498	0	-1529.498	-0.2858903
25000	-1528.523	0	-1528.523	-0.3252856
25500	-1566.233	0	-1566.233	-0.1735087
26000	-1565.615	0	-1565.615	-0.3091437
26500	-1536.912	0	-1536.912	-0.2511158
27000	-1596.738	0	-1596.738	-0.2748138
27500	-1520.693	0	-1520.693	-0.3231938
28000	-1574.362	0	-1574.362	-0.3469993
28500	-1593.069	0	-1593.069	-0.2774172
29000	-1568.107	0	-1568.107	-0.2770655
29500	-1561.379	0	-1561.379	-0.3064778
30000	-1555.988	0	-1555.988	-0.2887027
30500	-1586.861	0	-1586.861	-0.2778558
31000	-1541.078	0	-1541.078	-0.05650847
31500	-1564.972	0	-1564.972	-0.2360887
32000	-1573.671	0	-1573.671	-0.3237419
32500	-1578.188	0	-1578.188	-0.2186387
33000	-1584.933	0	-1584.933	-0.4308548
33500	-1647.742	0	-1647.742	-0.1692039
34000	-1646.651	0	-1646.651	-0.3798114
34500	-1615.477	0	-1615.477	-0.5167824
35000	-1595.85	0	-1595.85	-0.5786081
35500	-1594.776	0	-1594.776	-0.1538226
36000	-1599.007	0	-1599.007	-0.01260839
36500	-1562.7	0	-1562.7	-0.2019831
37000	-1570.442	0	-1570.442	-0.2660191
37500	-1583.729	0	-1583.729	-0.2143521
