Iteration	Posterior	Likelihood	Prior	rho[1][3]
0	-2767.094	0	-2767.094	-0.2736238
500	-1833.808	0	-1833.808	-0.1281972
1000	-1810.64	0	-1810.64	-0.07298218
1500	-1789.017	0	-1789.017	-0.1651618
2000	-1738.503	0	-1738.503	-0.2500422
2500	-1747.798	0	-1747.798	-0.2273679
3000	-1702.748	0	-1702.748	-0.1560331
3500	-1715.047	0	-1715.047	-0.1592205
4000	-1743.436	0	-1743.436	-0.2198745
4500	-1660.366	0	-1660.366	-0.187939
5000	-1653.002	0	-1653.002	-0.2940981
5500	-1644.417	0	-1644.417	-0.1705565
6000	-1671.011	0	-1671.011	-0.3005073
6500	-1694.815	0	-1694.815	-0.2050179
7000	-1652.267	0	-1652.267	0.1070937
7500	-1676.815	0	-1676.815	-0.1963147
8000	-1657.212	0	-1657.212	-0.1618141
8500	-1646.412	0	-1646.412	-0.151249
9000	-1629.817	0	-1629.817	0.01464365
9500	-1682.457	0	-1682.457	-0.2024106
10000	-1585.742	0	-1585.742	0.1401053
10500	-1626.512	0	-1626.512	0.08627066
11000	-1649.935	0	-1649.935	0.05223813
11500	-1611	0	-1611	-0.3725527
12000	-1647.121	0	-1647.121	-0.3967354
12500	-1637.222	0	-1637.222	-0.181674
13000	-1634.307	0	-1634.307	-0.3631305
13500	-1710.281	0	-1710.281	-0.3867407
14000	-1641.434	0	-1641.434	-0.3755061
14500	-1633.002	0	-1633.002	-0.4004561
15000	-1654.661	0	-1654.661	-0.4204897
15500	-1672.531	0	-1672.531	-0.3807733
16000	-1570.103	0	-1570.103	-0.4772706
16500	-1599.341	0	-1599.341	-0.4827692
17000	-1498.971	0	-1498.971	-0.5536481
17500	-1543.947	0	-1543.947	-0.6636059
18000	-1559.423	0	-1559.423	-0.591979
18500	-1625.698	0	-1625.698	-0.4604569
19000	-1595.907	0	-1595.907	-0.5245617
19500	-1597.718	0	-1597.718	-0.513781
20000	-1628.388	0	-1628.388	-0.4262703
20500	-1598.409	0	-1598.409	-0.6110208
21000	-1615.475	0	-1615.475	-0.4530359
21500	-1600.019	0	-1600.019	-0.1869847
22000	-1607.516	0	-1607.516	-0.181119
22500	-1651.162	0	-1651.162	-0.3946825
23000	-1562.768	0	-1562.768	-0.2644629
23500	-1543.11	0	-1543.11	-0.4097142
24000	-1500.023	0	-1500.023	-0.420958
24500	-1529.498	0	-1529.498	-0.4823884
25000	-1528.523	0	-1528.523	-0.2140921
25500	-1566.233	0	-1566.233	-0.1041
26000	-1565.615	0	-1565.615	-0.3159852
26500	-1536.912	0	-1536.912	-0.3711167
27000	-1596.738	0	-1596.738	-0.4556621
27500	-1520.693	0	-1520.693	-0.3607273
28000	-1574.362	0	-1574.362	-0.4432234
28500	-1593.069	0	-1593.069	-0.2535019
29000	-1568.107	0	-1568.107	-0.2654706
29500	-1561.379	0	-1561.379	-0.476192
30000	-1555.988	0	-1555.988	-0.2947156
30500	-1586.861	0	-1586.861	-0.2016163
31000	-1541.078	0	-1541.078	-0.3493531
31500	-1564.972	0	-1564.972	-0.3846315
32000	-1573.671	0	-1573.671	-0.324655
32500	-1578.188	0	-1578.188	-0.3799993
33000	-1584.933	0	-1584.933	-0.467171
33500	-1647.742	0	-1647.742	-0.2874397
34000	-1646.651	0	-1646.651	-0.4192805
34500	-1615.477	0	-1615.477	-0.4208982
35000	-1595.85	0	-1595.85	-0.4176904
35500	-1594.776	0	-1594.776	-0.5711025
36000	-1599.007	0	-1599.007	-0.4496832
36500	-1562.7	0	-1562.7	-0.4874671
37000	-1570.442	0	-1570.442	-0.5783749
37500	-1583.729	0	-1583.729	-0.4626472
38000	-1559.956	0	-1559.956	-0.6239776
38500	-1540.706	0	-1540.706	-0.5670255
39000	-1539.188	0	-1539.188	-0.4557895
39500	-1504.775	0	-1504.775	-0.448027
40000	-1460.643	0	-1460.643	-0.4956208
40500	-1572.402	0	-1572.402	-0.5496284
41000	-1499.867	0	-1499.867	-0.5855306
41500	-1554.459	0	-1554.459	-0.5874651
42000	-1564.081	0	-1564.081	-0.430263
42500	-1611.642	0	-1611.642	-0.3391314
43000	-1559.631	0	-1559.631	-0.2978751
43500	-1546.896	0	-1546.896	-0.4987807
44000	-1526.823	0	-1526.823	-0.5479212
44500	-1585.789	0	-1585.789	-0.3563283
45000	-1510.764	0	-1510.764	-0.5320794
45500	-1552.8	0	-1552.8	-0.4969762
46000	-1567.132	0	-1567.132	-0.3272619
46500	-1482.78	0	-1482.78	-0.4908099
47000	-1599.632	0	-1599.632	-0.5461653
47500	-1596.586	0	-1596.586	-0.5042036
48000	-1526.387	0	-1526.387	-0.6154201
48500	-1525.308	0	-1525.308	-0.6413344
49000	-1534.618	0	-1534.618	-0.6238144
49500	-1569.467	0	-1569.467	-0.5924314
50000	-1556.234	0	-1556.234	-0.5246007
50500	-1469.916	0	-1469.916	-0.7095816
51000	-1534.29	0	-1534.29	-0.640797
51500	-1504.114	0	-1504.114	-0.6119369
52000	-1494.628	0	-1494.628	-0.5618536
52500	-1423.75	0	-1423.75	-0.5473542
53000	-1422.352	0	-1422.352	-0.5602722
53500	-1437.871	0	-1437.871	-0.7148749
54000	-1502.103	0	-1502.103	-0.6480523
54500	-1542.058	0	-1542.058	-0.5923394
55000	-1519.605	0	-1519.605	-0.4546082
55500	-1447.67	0	-1447.67	-0.5584933
56000	-1543.289	0	-1543.289	-0.4565785
56500	-1538.08	0	-1538.08	-0.2942855
57000	-1481.698	0	-1481.698	-0.315441
57500	-1452.419	0	-1452.419	-0.5698145
58000	-1516.348	0	-1516.348	-0.6767504
58500	-1464.428	0	-1464.428	-0.6156384
59000	-1495.71	0	-1495.71	-0.5640079
59500	-1498.938	0	-1498.938	-0.6865421
60000	-1543.473	0	-1543.473	-0.6946781
60500	-1552.617	0	-1552.617	-0.6740228
61000	-1488.325	0	-1488.325	-0.6030722
61500	-1533.475	0	-1533.475	-0.4235748
62000	-1584.346	0	-1584.346	-0.5925632
62500	-1651.285	0	-1651.285	-0.5626205
63000	-1591.337	0	-1591.337	-0.5763475
63500	-1558.035	0	-1558.035	-0.4957031
64000	-1597.553	0	-1597.553	-0.3246701
64500	-1473.305	0	-1473.305	-0.3651566
65000	-1482.464	0	-1482.464	-0.4643921
65500	-1446.76	0	-1446.76	-0.4324654
66000	-1465.381	0	-1465.381	-0.4674085
66500	-1480.667	0	-1480.667	-0.5357454
67000	-1529.438	0	-1529.438	-0.3532274
67500	-1488.075	0	-1488.075	-0.2050994
68000	-1564.566	0	-1564.566	-0.4662212
68500	-1530.018	0	-1530.018	-0.5075615
69000	-1541.108	0	-1541.108	-0.4599406
69500	-1574.823	0	-1574.823	-0.421466
70000	-1598.121	0	-1598.121	-0.3395893
70500	-1502.014	0	-1502.014	-0.4511253
71000	-1518.647	0	-1518.647	-0.4066252
71500	-1571.351	0	-1571.351	-0.5416155
72000	-1611.153	0	-1611.153	-0.3938057
