"","X","gen","family","species","sub_species","common_name","recordist","date","time","country","location","lat","lng","bird","file_name","weights","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","gmm_cluster","gmm_prob_0","gmm_prob_1","gmm_prob_2","gmm_prob_3","gmm_prob_4","gmm_prob_5","gmm_prob_6","gmm_prob_7"
"1969",1969,"Gymnoris","Passeridae (Old World Sparrows)","Gymnoris_dentata","","Sahel Bush Sparrow","Bram Piot","2019-11-30","18:30","Senegal","Lompoul, Louga Region",15.4534,-16.6804,509744,"Gymnoris_dentata_509744_seg12.wav",0.0238095238095238,294.7807,11.049914,-40.665474,-14.036262,-15.419447,0.9843924,-5.2450366,-2.6330109,8.335783,-3.2285914,2.724231,6.517955,8.993289,-5.946674,4.860865,-6.627572,8.712064,2.0410674,-2.7284784,-0.7252303,7.707885,-0.49855146,3.2645123,8.4135,2.8714657,-2.5985427,-4.3017964,-1.659152,5.3514094,-3.8658817,-0.40272102,1.9969183,5.31748,-7.72884,-1.4039202,0.59415245,-2.084063,7,1.98948649266503e-39,1.20699747702783e-20,1.00924750542357e-06,2.29430964764303e-21,0.0170180248514623,0.176907624694543,2.38779881897277e-06,0.806070953407667
"1970",1970,"Gymnoris","Passeridae (Old World Sparrows)","Gymnoris_dentata","","Sahel Bush Sparrow","Peter Boesman","2015-12-19","16:00","Ethiopia","Gibe gorge area",8.232675,37.578772,300319,"Gymnoris_dentata_300319_seg2.wav",0.0238095238095238,316.4112,7.421035,-65.74051,-1.0355517,-5.0804877,-12.358241,-4.419888,-5.81019,2.3599403,9.570652,5.2185826,-0.8775866,1.60555,13.194467,-3.1401827,2.90407,4.261409,-0.34269154,-3.780494,-0.52438235,8.655099,1.4292281,3.9376578,-0.59170693,-0.51842606,2.0811784,-2.8436155,-5.5491033,-1.1878009,1.5539237,-0.18044488,-2.491272,-1.5624716,-0.25504875,0.87183,-3.4266243,-0.230075,7,1.30154183101265e-52,3.91813046926496e-33,0.000179862036219895,1.34352802815257e-17,0.00800700201031822,0.000290006636757686,0.000276539559285939,0.991246589757417
"1971",1971,"Gymnoris","Passeridae (Old World Sparrows)","Gymnoris_dentata","","Sahel Bush Sparrow","Bram Piot","2019-11-30","18:30","Senegal","Lompoul, Louga Region",15.4534,-16.6804,509744,"Gymnoris_dentata_509744_seg13.wav",0.0238095238095238,316.14438,7.3896823,-44.950325,-17.675663,-1.275085,6.829179,-5.8548393,-2.6526341,2.7917488,-2.6838162,4.0083013,-2.2402108,11.428103,0.7897697,5.771646,-7.368488,-2.3298628,-9.375551,-0.43260568,0.990787,7.5186696,-2.663334,1.3995703,8.896336,10.336666,0.36416507,-4.6441736,-1.6033374,-0.39505622,4.0121517,-1.3516359,-1.934347,3.4207063,1.4272957,6.3906755,-1.2263794,-1.3052478,7,2.2378911480974e-40,4.76178759056918e-19,0.000184500446132391,1.97557256403194e-25,0.0681664522114687,0.165168224575113,1.10645755079682e-05,0.766469758191779
"1972",1972,"Gymnoris","Passeridae (Old World Sparrows)","Gymnoris_dentata","","Sahel Bush Sparrow","Bram Piot","2017-01-04","09:00","Senegal","Lompoul, Louga Region",15.4534,-16.6804,350038,"Gymnoris_dentata_350038_seg9.wav",0.0238095238095238,248.92622,5.6850333,-29.510565,9.311032,8.07061,7.7665133,9.672163,1.7443172,9.25693,-2.4066648,0.8758358,-6.1175404,2.7404406,2.329297,6.1222634,3.919835,-0.15842448,0.0033676226,0.66439694,2.7684145,2.9936755,-6.398123,-2.031634,-0.44074112,0.97914606,5.2183976,2.3881195,1.5148293,-2.445914,-0.78460455,-3.619569,-0.103272624,2.15524,2.6880817,3.7961254,2.5739574,2.84797,6,8.72326099779687e-60,3.11596455532661e-24,0.0140035130579598,0.294892010791311,1.45264683637297e-06,3.02716339102486e-07,0.685175071660266,0.0059276491272882
"1973",1973,"Dicrurus","Dicruridae (Drongos)","Dicrurus_aeneus","","Bronzed Drongo","Peter Boesman","2017-02-17","08:00","Malaysia","Danum Valley, Sabah, Borneo",4.98029,117.844002,359697,"Dicrurus_aeneus_359697_seg1.wav",0.032258064516129,241.82866,53.728584,3.3530731,0.91151196,-9.935336,-5.985172,-4.622337,6.0479183,-6.310589,5.6429243,-2.0689523,0.37941894,-0.9348904,-0.06838135,-1.6514275,1.3506967,-0.37069654,0.037216824,3.5425942,0.27627778,3.5700064,2.7820144,2.1243997,0.51808524,3.161669,-2.9723938,3.168147,1.6891631,-0.08455125,-1.6346655,-1.3658137,-1.7084692,0.76942533,2.101822,1.9441304,0.7983475,0.15790111,6,1.12100919925884e-23,2.31265468529478e-09,8.62449756071606e-06,0.00148918909683738,2.68717629563834e-07,1.49719631862753e-06,0.998491949831686,8.46834731221636e-06
"1974",1974,"Dicrurus","Dicruridae (Drongos)","Dicrurus_aeneus","aeneus","Bronzed Drongo","Greg Irving","2016-12-25","10:25","Thailand","Pagoda Trails, Doi Angkhang, Chiang Mai Province",19.9007,99.0514,348307,"Dicrurus_aeneus_348307_seg3.wav",0.032258064516129,229.67639,35.962402,-5.8155675,1.6330934,6.946996,-11.108766,-5.7037554,-3.1198072,1.9292039,1.8193071,1.5090436,-0.23940891,-2.0289001,1.2147218,-1.933102,1.0196186,-0.19923893,1.89041,-2.7472188,-0.41944245,1.6461469,1.6975658,-2.1098824,3.899623,1.2255691,2.732084,-0.48870593,0.48252502,1.3190044,-1.5788445,-3.1461508,3.1904774,0.531618,-1.6672153,6.7235823,3.3893375,0.67475903,6,1.66416187260966e-26,2.36133134360672e-09,6.03265674712409e-06,0.000113876976705959,1.30949853054472e-08,5.63295624608313e-07,0.999877210367857,2.30124675179457e-06
"1975",1975,"Dicrurus","Dicruridae (Drongos)","Dicrurus_aeneus","","Bronzed Drongo","Peter Boesman","2017-02-17","08:00","Malaysia","Danum Valley, Sabah, Borneo",4.98029,117.844002,359697,"Dicrurus_aeneus_359697_seg2.wav",0.032258064516129,248.83768,43.290916,-2.5113556,1.8372973,-8.740932,-3.8217657,-2.3858633,7.1611714,-3.3464093,6.1158423,3.1719198,1.279783,-1.7719995,-0.15522258,1.3143591,2.0113065,1.0444975,-2.0207927,0.1556206,0.42483506,4.24904,0.7889256,1.364824,-1.8885984,3.7726138,-0.3377612,-2.8081965,1.0096817,-0.888694,-3.4718955,-2.6671245,-0.13224271,1.8239467,4.0218964,-0.56994057,0.370533,2.0560298,6,1.65057858157821e-22,1.21242227432569e-08,1.01078843623243e-05,0.0085508731679883,2.04822678006279e-06,5.64715598406435e-06,0.991366025047374,6.52863932885842e-05
"1976",1976,"Dicrurus","Dicruridae (Drongos)","Dicrurus_aeneus","aeneus","Bronzed Drongo","Greg Irving","2016-12-25","10:25","Thailand","Pagoda Trails, Doi Angkhang, Chiang Mai Province",19.9007,99.0514,348307,"Dicrurus_aeneus_348307_seg1.wav",0.032258064516129,230.00308,34.98307,-18.746067,2.259039,-12.009439,7.864952,-6.8353586,4.3068748,-0.28055456,10.168615,4.157445,1.7586888,-1.1943552,6.7652545,0.019175788,-3.0721686,-2.0482657,-2.4638069,-0.80624557,3.631623,0.23697764,0.2896798,-0.95412004,0.54465675,-2.7415411,-3.7898881,-0.7453935,1.7942648,-1.5643438,-0.5578974,-1.2519842,0.9201305,1.8218534,1.4082775,-1.2255583,0.020101547,-0.13332948,6,4.8582079592898e-35,6.39247895152417e-14,3.41535112499397e-06,0.000122596695900187,3.56028756203686e-08,1.26280758697364e-07,0.999872489658534,1.33641074323555e-06
"1977",1977,"Dicrurus","Dicruridae (Drongos)","Dicrurus_aeneus","","Bronzed Drongo","Peter Boesman","2017-02-17","08:00","Malaysia","Danum Valley, Sabah, Borneo",4.98029,117.844002,359697,"Dicrurus_aeneus_359697_seg3.wav",0.032258064516129,268.80923,45.135075,7.9100885,0.2287975,-11.250059,-11.467653,-2.0397556,8.258539,-0.058233023,-3.1139894,-9.781546,2.18321,-2.201525,-7.1304955,0.376437,0.32745728,6.1875854,6.994476,9.319298,-0.9772964,-0.7438999,1.2953626,4.7144146,-2.5203884,4.5413904,1.391479,-3.1362107,3.0343237,0.9953026,4.917509,3.5901473,3.514406,0.20635927,-1.5629864,0.56202126,-0.82774544,-4.5188828,6,2.21979629980259e-28,1.09007849582758e-13,2.46100515292438e-05,7.40463733525101e-10,2.40315406105517e-05,0.0275409987486299,0.972318808592271,9.15503263903491e-05
"1978",1978,"Dicrurus","Dicruridae (Drongos)","Dicrurus_aeneus","","Bronzed Drongo","Peter Boesman","2017-02-17","08:00","Malaysia","Danum Valley, Sabah, Borneo",4.98029,117.844002,359697,"Dicrurus_aeneus_359697_seg7.wav",0.032258064516129,214.96075,48.73197,17.210222,8.578295,3.0678391,3.0314016,2.9668646,0.8574428,2.7162638,2.2519112,0.4475053,-0.36768234,0.28259686,-2.827825,0.8762245,-1.5900834,-0.5443365,-4.6713424,1.067466,1.4764197,-0.4432453,0.7268488,7.3325763,-2.9533489,2.5491047,4.2162724,-0.58427936,-1.2746654,1.7041599,-1.1628903,1.2958226,1.6932507,2.1757846,-4.8575306,3.9926276,-1.3127117,0.19553126,6,2.16071853869562e-12,0.0112149660050163,0.000140806740210172,0.127177405736428,8.09979567231436e-06,7.35432212366516e-06,0.861363778924978,8.75884734135186e-05
"1979",1979,"Dicrurus","Dicruridae (Drongos)","Dicrurus_aeneus","","Bronzed Drongo","Peter Boesman","2017-02-17","08:00","Malaysia","Danum Valley, Sabah, Borneo",4.98029,117.844002,359697,"Dicrurus_aeneus_359697_seg4.wav",0.032258064516129,272.1845,41.454502,3.9321232,-3.9016588,-6.081315,-11.591301,-1.915553,3.9828389,-0.66349256,1.8660842,-2.6172204,-2.7469132,-0.98555505,-1.0896224,2.5485935,-1.7021695,4.052029,-1.2069354,6.5175047,-3.2065408,5.2630835,-3.70233,0.19242226,-1.0362208,4.04584,1.9083585,2.919269,-3.6973288,1.3867183,-1.5409575,1.7825991,4.8188715,1.3948357,-6.238102,2.3188066,2.8867302,0.9032868,6,1.42556507244442e-15,6.69729429529677e-06,1.02126682584439e-05,3.18915631924007e-08,5.31833653087216e-05,0.0246326231794552,0.972374416797792,0.00292283480332312
"1980",1980,"Dicrurus","Dicruridae (Drongos)","Dicrurus_aeneus","","Bronzed Drongo","Peter Boesman","2017-02-17","08:00","Malaysia","Danum Valley, Sabah, Borneo",4.98029,117.844002,359697,"Dicrurus_aeneus_359697_seg5.wav",0.032258064516129,196.72513,64.11384,13.640212,12.516608,-7.8377295,1.2004237,0.12150768,1.9727341,-5.424129,8.016456,-0.22050121,-0.10648893,0.6148636,3.963128,-1.6395441,2.625842,-3.7292354,-0.6338116,-2.964307,0.35821497,1.8234572,4.7332053,2.548431,-2.635472,3.9919832,-2.1594768,3.9633784,2.5715752,-0.89351964,0.87872386,0.009985685,-0.602137,4.428591,-1.061697,-3.6254735,6.910902,-2.1546793,6,8.51627047679225e-14,3.16787323366622e-08,0.00154198663805267,0.000608729651379561,0.000169735660883756,6.97411988604228e-05,0.997045550052462,0.000564225119543286
"1981",1981,"Dicrurus","Dicruridae (Drongos)","Dicrurus_aeneus","","Bronzed Drongo","Peter Boesman","2014-05-29","10:00","Malaysia","Golfcourse area.  Fraser's Hill (Bukit Fraser), Pahang",3.715,101.738,290971,"Dicrurus_aeneus_290971_seg1.wav",0.032258064516129,204.52261,32.75766,20.689173,6.3548045,-7.571874,8.523616,-5.7211323,2.530727,-8.126424,3.3284283,-0.1494333,0.22040986,3.1043339,-1.0394353,-2.460198,-7.865737,-3.5601578,-0.8715697,-0.13190281,8.119094,-0.40429798,0.16818242,2.395016,2.3161242,-1.2955196,2.3241053,-0.8642728,-2.62741,3.3759704,-0.70448387,0.46768436,-3.0681148,-1.6983615,1.9437962,1.88129,1.2395554,-0.822866,3,2.56280962740138e-09,0.121544151227412,4.36072917226676e-05,0.862181356082765,4.23605737179955e-05,1.59164078091945e-06,0.0161704644537325,1.64661670620809e-05
"1982",1982,"Dicrurus","Dicruridae (Drongos)","Dicrurus_aeneus","","Bronzed Drongo","Peter Boesman","2014-05-29","10:00","Malaysia","Golfcourse area.  Fraser's Hill (Bukit Fraser), Pahang",3.715,101.738,290971,"Dicrurus_aeneus_290971_seg3.wav",0.032258064516129,238.26004,-22.653072,18.448387,-3.935973,-2.0802433,13.646936,2.1792884,-13.73866,-3.1079876,1.9352463,-11.607967,0.47309437,6.7117143,5.2268047,3.4021208,-2.0436122,-5.211619,-1.3577591,0.78335917,1.2033721,0.46459982,1.2126936,-0.3970377,-1.0818313,-1.0070733,4.45909,-3.6037219,-2.265215,-2.16487,0.95221,2.426577,-1.7117182,-0.8109139,0.89071846,0.8125315,-3.3927002,0.18973899,1,0.0157389138115826,0.984240694987303,9.73752342480613e-11,4.48343185229827e-15,1.91385976934002e-06,1.76777778078198e-07,7.24206724984204e-22,1.83004661855343e-05
"1983",1983,"Dicrurus","Dicruridae (Drongos)","Dicrurus_aeneus","","Bronzed Drongo","Peter Boesman","2014-05-29","10:00","Malaysia","Golfcourse area.  Fraser's Hill (Bukit Fraser), Pahang",3.715,101.738,290971,"Dicrurus_aeneus_290971_seg2.wav",0.032258064516129,237.8319,-20.236399,10.5049515,3.5991423,4.482437,14.017347,-2.1398962,-10.647953,-9.869224,1.358994,-9.34998,-1.2699074,4.4894843,5.335117,-1.9016651,-6.45399,0.8781939,2.110632,-1.0326111,-1.924461,2.531452,-2.9537082,-2.1601002,-2.4363701,2.5154295,0.69459695,-1.96137,-0.46046495,-3.256592,1.2058754,-2.3452017,0.9696378,-1.0614623,1.500906,2.507372,-2.4176617,1.3231008,1,7.25258727711769e-05,0.999904221644999,5.02712868944484e-08,1.19121124191867e-08,1.61302098531244e-05,5.69878579340124e-09,3.53930758472688e-17,7.05439019324032e-06
"1984",1984,"Dicrurus","Dicruridae (Drongos)","Dicrurus_aeneus","","Bronzed Drongo","Peter Boesman","2014-05-29","10:00","Malaysia","Golfcourse area.  Fraser's Hill (Bukit Fraser), Pahang",3.715,101.738,290971,"Dicrurus_aeneus_290971_seg6.wav",0.032258064516129,236.11562,27.861845,-1.6022602,1.7747675,-2.6653857,1.4511312,-6.818355,3.1976638,-6.7557797,2.1539438,-0.09441547,0.08784122,0.50032324,-1.2916036,-4.348522,-5.6192703,-0.16840586,-1.9285039,-0.90190357,6.885939,2.4493146,0.46795082,1.4610553,-1.285235,-1.4254742,2.6144018,0.6075846,-0.5917528,1.0677037,-0.90869474,-0.4462956,-0.911595,-1.3468536,0.825161,0.49250698,4.1195774,2.4927704,6,3.02669704858722e-17,0.000797854278379077,2.76828169422731e-06,0.330580436091424,1.50526520347543e-07,2.13524083815269e-06,0.668615754527087,9.01054058207453e-07
"1985",1985,"Dicrurus","Dicruridae (Drongos)","Dicrurus_aeneus","","Bronzed Drongo","Peter Boesman","2014-05-29","10:00","Malaysia","Golfcourse area.  Fraser's Hill (Bukit Fraser), Pahang",3.715,101.738,290971,"Dicrurus_aeneus_290971_seg4.wav",0.032258064516129,244.84496,29.88294,-0.9597661,3.3846817,-5.9992256,-5.21667,-10.353636,-0.35664406,-6.790408,-1.1226163,2.259072,3.6660016,0.16601771,-3.8838797,-0.26546004,-6.099462,-0.22123806,0.7740388,-0.98715055,6.2237244,-0.7285733,-1.288146,1.639051,2.0887332,-0.20518948,4.358116,-0.8481629,-1.1362053,1.7150354,-3.3255637,-2.4431105,-1.0076141,-1.1580458,3.2545643,-0.5494342,4.001381,-0.6202044,3,4.89461327455424e-13,0.00116035767306231,0.000339069749637632,0.977738275725893,0.000145821096194853,0.00292582285698954,0.0176278799801291,6.27729176036733e-05
