"","gen","family","species","sub_species","common_name","recordist","date","time","country","location","lat","lng","bird","file_name","weights","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","gmm_cluster","gmm_prob_0","gmm_prob_1","gmm_prob_2","gmm_prob_3","gmm_prob_4","gmm_prob_5","gmm_prob_6","gmm_prob_7","oscine_group"
"36345","Sittasomus","Furnariidae (Ovenbirds and Woodcreepers)","Sittasomus_griseicapillus","amazonus","Olivaceous Woodcreeper","John V. Moore","1994-03-00","?","Ecuador","Sucumbíos: 'La Selva Jungle Lodge', n bank Río Napo",-0.498,-76.373,258262,"Sittasomus_griseicapillus_258262_seg1.wav",0.0222222222222222,246.81105,-23.992636,25.151567,10.747708,-1.3583115,3.603906,-8.771135,-0.027982078,-7.8846345,-1.9939117,1.2971132,1.7515597,4.3850665,2.3649135,-0.08839053,-1.711109,0.5966581,2.3156953,-0.06800486,0.73989546,-1.0098778,0.3364941,-0.3210936,1.10439,-1.0274299,-0.3134322,0.7121922,0.30829158,0.08595623,1.8410853,1.664897,1.5563645,-0.36364937,-0.14452553,-0.36228752,1.4193096,0.06343943,1,5.60463629801183e-06,0.897425704890162,4.15309033877361e-09,0.102568666508382,2.14502374518744e-09,1.43818570247514e-08,7.94176941495124e-19,3.28518535779736e-09,"Non-Oscines"
"36346","Sittasomus","Furnariidae (Ovenbirds and Woodcreepers)","Sittasomus_griseicapillus","","Olivaceous Woodcreeper","Franco Vushurovich","2019-03-25","19:00","Argentina","Parque Provincial Araucaria, San Pedro, Misiones",-26.6301,-54.0999,587328,"Sittasomus_griseicapillus_587328_seg1.wav",0.0222222222222222,251.73317,-6.6863933,1.7771959,-1.7164357,17.956585,0.7597268,-7.858693,-14.301792,-1.8226238,5.5955315,-3.6757584,-1.2087618,-1.0776168,0.61141396,-1.3528042,-4.1357794,0.735883,1.6695758,-0.049515914,-1.5990163,-3.3683047,-1.695694,1.5956099,-3.5367641,-1.4176229,-2.5808475,6.9267154,-0.9704901,0.08143247,-2.6654015,-3.125469,-5.2854495,-1.5436925,1.6728592,-1.5106392,-2.3791828,0.08328916,1,2.33112527514593e-13,0.999368208729507,1.52350585358047e-05,0.000285837317240029,1.62533490311065e-07,7.4608013964315e-05,0.000253562314044187,2.38603298366397e-06,"Non-Oscines"
"36347","Sittasomus","Furnariidae (Ovenbirds and Woodcreepers)","Sittasomus_griseicapillus","","Olivaceous Woodcreeper","Jacob Wijpkema","2022-12-17","11:34","Bolivia","Extrema",-11.4667,-69.2501,775612,"Sittasomus_griseicapillus_775612_seg1.wav",0.0222222222222222,252.16037,-21.158905,14.957184,-2.6269295,4.0302496,9.7323265,3.0979412,-7.269276,-10.262861,6.6381183,1.441205,3.6649857,0.17785761,1.6042366,3.1416965,-0.4329689,-0.89804536,0.91531223,1.1455616,0.21067744,-1.7633942,1.3606921,-0.6514092,4.8598685,-0.77781206,-1.0774593,0.6570819,-4.033439,-1.8998212,0.8831491,0.6701525,1.461988,-1.5304997,1.7373409,-0.9476671,-0.7049904,-0.44411838,1,2.80391129346875e-06,0.999886684625155,8.41276505336464e-11,0.000110474251503703,5.09448897484895e-09,1.7136829012603e-08,1.58620954766271e-09,1.33103931218058e-08,"Non-Oscines"
"36348","Sittasomus","Furnariidae (Ovenbirds and Woodcreepers)","Sittasomus_griseicapillus","","Olivaceous Woodcreeper","Dante Buzzetti","2004-03-20","6:47","Brazil","Fazenda Recanto, Chã Preta, Alagoas",-9.2754,-36.2364,522703,"Sittasomus_griseicapillus_522703_seg3.wav",0.0222222222222222,226.16669,-9.040332,10.037891,0.94956726,18.932472,8.763733,-3.056922,-3.2654288,-7.6444554,1.0434371,0.9231797,3.7037292,-0.6272827,2.7705333,-3.205789,-3.1007648,1.4002889,0.08600217,-0.29204968,2.3455224,2.291746,0.6288756,-0.89203876,-0.6300015,-0.21387972,-3.387233,0.806739,-0.4466749,0.18946978,0.86302304,0.5358859,-0.57529557,1.2946445,-0.99627495,-0.06037903,1.3955956,0.35273314,3,1.63591399203666e-13,0.0101176253540861,4.69737475194767e-10,0.989882332847978,5.59140983719637e-11,1.55502318355345e-11,4.10304530951251e-08,2.26116780299504e-10,"Non-Oscines"
"36349","Sittasomus","Furnariidae (Ovenbirds and Woodcreepers)","Sittasomus_griseicapillus","griseus","Olivaceous Woodcreeper","Peter Boesman","1995-06-11","08:00","Venezuela","Palmichal area, Carabobo",10.35,-68.2,229782,"Sittasomus_griseicapillus_229782_seg1.wav",0.0222222222222222,252.86296,-1.5317096,7.5075135,2.6736348,-0.29860848,1.1361551,-11.317382,-2.2105148,-6.5226927,0.46395612,-5.850782,0.6473617,4.183536,-2.0458703,-2.7139022,2.0011137,-0.24561377,-4.367264,2.3919044,0.12614506,-6.9577923,-2.085771,-3.860585,-3.025468,-0.44037074,-2.4905512,-0.17305416,-0.82939106,6.2923737,2.4806123,-3.015106,-1.3593193,6.9147406,1.7613277,-1.4491625,-0.834568,-2.3985314,2,2.54692115002294e-07,1.43769532944454e-06,0.99999251370007,6.53695127293448e-17,5.79387877834525e-06,3.28919723767177e-11,5.93015274128374e-26,8.12951261260848e-13,"Non-Oscines"
"36350","Sittasomus","Furnariidae (Ovenbirds and Woodcreepers)","Sittasomus_griseicapillus","","Olivaceous Woodcreeper","Dante Buzzetti","2004-03-20","6:47","Brazil","Fazenda Recanto, Chã Preta, Alagoas",-9.2754,-36.2364,522703,"Sittasomus_griseicapillus_522703_seg2.wav",0.0222222222222222,225.83679,-3.0842762,11.069835,2.3498416,26.705044,-0.3848219,-3.863575,-2.2540083,-6.107069,-0.029264826,-2.669351,3.1488497,-2.3658352,0.16836633,-3.8036516,-2.0334377,1.2895974,0.32421315,0.53028977,1.9310756,1.1833322,-0.60712427,2.4651918,-1.2955403,-1.4680524,-4.9732203,4.341184,-0.2014825,0.34912863,-0.5874668,-0.07120724,2.216077,2.0402036,-0.37893295,-0.14444971,0.34915543,0.048039015,1,6.88709544196101e-13,0.94514364431514,1.53003177017754e-07,0.0548468109813879,5.10466671021108e-10,2.14314636957009e-08,9.36593355173961e-06,3.82412300464155e-09,"Non-Oscines"
"36351","Sittasomus","Furnariidae (Ovenbirds and Woodcreepers)","Sittasomus_griseicapillus","griseus","Olivaceous Woodcreeper","Peter Boesman","1995-06-11","08:00","Venezuela","Palmichal area, Carabobo",10.35,-68.2,229782,"Sittasomus_griseicapillus_229782_seg2.wav",0.0222222222222222,259.57233,-21.990696,11.1635,13.17185,6.206682,1.9767145,-7.866397,-5.683562,-5.3632975,3.032387,-0.45572537,-0.22270565,1.6498106,-1.136618,1.6205412,-1.8931924,-0.7565972,-0.77915215,3.1175632,1.3234105,1.7157496,-2.063855,1.6541139,1.0719653,-2.5270476,-5.327116,-1.4553981,3.2557263,-1.8865563,-2.3987443,-0.036829192,-1.5575706,-0.7500814,1.8709888,-3.3139095,-1.3637676,-1.4720707,1,1.02664707661165e-06,0.909776915911537,1.57329120849719e-07,0.090220960341786,2.24168993290149e-07,6.55417988624263e-07,1.4110918117425e-13,6.01833566145368e-08,"Non-Oscines"
"36352","Sittasomus","Furnariidae (Ovenbirds and Woodcreepers)","Sittasomus_griseicapillus","griseus","Olivaceous Woodcreeper","Peter Boesman","1995-06-11","08:00","Venezuela","Palmichal area, Carabobo",10.35,-68.2,229782,"Sittasomus_griseicapillus_229782_seg3.wav",0.0222222222222222,267.88745,-33.014637,0.44672817,3.7820413,9.210801,5.2843637,-10.186519,-7.282212,-4.4268847,-4.285788,-0.96322644,0.56746036,5.278158,-6.9969077,2.0990796,1.0680137,0.5789531,-1.8949046,1.9390131,-3.0117269,-2.9741228,-0.9733973,-0.9320933,-5.4668045,3.0293183,-1.9366869,-1.3163444,-1.7027692,2.4168255,-1.6008048,-0.8244297,-1.8243582,8.112727,1.8993454,-0.017924309,2.358488,-3.3069131,2,0.0761529137953584,0.405832741356616,0.513172123016932,2.22920210193278e-10,0.00484188703586032,2.61781698336402e-07,2.93759115792791e-27,7.27906139327556e-08,"Non-Oscines"
"36353","Sittasomus","Furnariidae (Ovenbirds and Woodcreepers)","Sittasomus_griseicapillus","","Olivaceous Woodcreeper","Dante Buzzetti","2004-03-20","6:47","Brazil","Fazenda Recanto, Chã Preta, Alagoas",-9.2754,-36.2364,522703,"Sittasomus_griseicapillus_522703_seg1.wav",0.0222222222222222,228.24806,9.275815,17.37301,3.8235269,28.33313,-5.0258727,-1.8521788,-1.3537059,-2.1592884,0.5932473,-4.2601466,4.2589397,-6.9026847,0.67900056,-3.6936264,-3.8804755,1.7781066,-0.8625007,-0.18260477,1.1038889,1.2925489,0.6746472,0.25012064,-0.8721087,0.007812465,-2.268458,3.0048635,0.1547691,0.88461167,0.2576622,0.0452809,-0.20897707,2.2178621,1.1470795,-0.08748388,0.32465172,-0.3445708,1,8.28513000250616e-15,0.995087648290755,4.63705983343417e-09,2.35435746591869e-06,2.64244736840885e-12,1.35242704821782e-07,0.00490985730398725,1.65375886988674e-10,"Non-Oscines"
"36354","Sittasomus","Furnariidae (Ovenbirds and Woodcreepers)","Sittasomus_griseicapillus","amazonus","Olivaceous Woodcreeper","John V. Moore","1993-11-00","?","Ecuador","Sucumbíos: 'Sacha Lodge', n bank Río Napo",-0.472,-76.459,258261,"Sittasomus_griseicapillus_258261_seg1.wav",0.0222222222222222,243.33388,-12.199775,29.358301,2.0518236,7.689324,-0.5869137,4.589895,-1.3366591,-8.862724,5.3420234,-3.1291003,1.1849395,2.0018356,2.298914,0.105593726,-0.74626386,-0.61537033,0.28444272,-1.1810066,-2.874752,0.19621724,-0.9282538,-2.5816371,0.02762618,0.46461686,0.086118214,0.7732211,-1.885745,-0.32969713,0.24823816,0.6966421,1.0079035,0.3585155,1.2305222,-0.5263214,-0.036029816,-0.083368406,1,4.77561607899005e-07,0.997343896824884,1.67024136511916e-09,0.00265560687385983,4.94768914140294e-10,4.43806332541492e-09,9.40421182715996e-09,2.73236280112929e-09,"Non-Oscines"
"36355","Sittasomus","Furnariidae (Ovenbirds and Woodcreepers)","Sittasomus_griseicapillus","amazonus","Olivaceous Woodcreeper","John V. Moore","1993-11-00","?","Ecuador","Sucumbíos: 'Sacha Lodge', n bank Río Napo",-0.472,-76.459,258261,"Sittasomus_griseicapillus_258261_seg2.wav",0.0222222222222222,248.51991,-20.252241,29.137955,5.268902,5.0384946,1.1804014,1.8069638,-0.0841054,-6.120976,4.236673,1.7474529,0.8834019,2.044676,-1.1406397,2.5654082,-3.285014,-1.5345901,-1.0110186,0.774169,1.6544793,0.35324556,-2.3025384,-0.34224212,1.6367294,0.7198584,-2.7128768,-0.10032599,0.43659377,-3.9682906,0.16782779,1.4003378,-1.5144078,-1.6227403,0.14943314,-1.2471485,-1.6054039,-1.6552968,1,2.0305821921838e-06,0.998909023614382,5.1328755036708e-09,0.0010888906758404,5.83685377765263e-09,2.66170539698446e-08,3.56314799348125e-10,1.71844864048512e-08,"Non-Oscines"
"36356","Sittasomus","Furnariidae (Ovenbirds and Woodcreepers)","Sittasomus_griseicapillus","amazonus","Olivaceous Woodcreeper","John V. Moore","1993-11-00","?","Ecuador","Sucumbíos: 'Sacha Lodge', n bank Río Napo",-0.472,-76.459,258261,"Sittasomus_griseicapillus_258261_seg3.wav",0.0222222222222222,228.11217,-10.232463,29.449728,5.603956,4.048994,6.422103,0.4714197,-2.9844918,-6.6220083,3.9141526,1.0627209,2.6318564,-0.05485804,0.19489786,1.2773141,0.36852127,-1.8068392,-0.78755164,0.12558123,-1.3956946,0.64298105,2.1629043,-0.3340628,-1.9608555,0.7758787,-1.4459767,0.38376006,-1.8829823,-2.0765975,3.0267339,0.42305177,0.17616728,0.91138744,1.9374523,1.1491461,-0.5165558,-0.73136944,3,1.18114807456532e-07,0.0584811785089246,5.02755143884047e-08,0.94151865062201,7.57959936338331e-10,1.73521039010414e-10,5.064771378505e-11,1.4966139732515e-09,"Non-Oscines"
"36357","Sittasomus","Furnariidae (Ovenbirds and Woodcreepers)","Sittasomus_griseicapillus","","Olivaceous Woodcreeper","Rick Bowers","1994-03-00","?","Costa Rica","Estación Biológica Las Cruces, San Vito de Coto Brus, Puntarenas ",8.7834,-82.9501,29624,"Sittasomus_griseicapillus_29624_seg1.wav",0.0222222222222222,214.74791,2.7068505,-17.27378,4.722157,5.34612,10.835292,9.214783,-1.2552387,-8.194167,-2.2279084,-1.5787503,6.598846,8.965112,-0.31178063,0.25813225,-0.84824467,-1.2053629,-5.5895643,4.7684484,6.2693157,-1.9457015,1.8287606,-9.929338,-7.6990914,0.53157955,-2.4571018,-1.0062219,-2.7717352,10.554147,6.443825,-0.6227397,-1.0843903,-0.59182787,-0.042877197,-2.373938,-1.769825,2.7360125,2,1.79203359947728e-30,6.86613335424923e-37,0.999999999326683,2.69715086491623e-38,6.73314851542272e-10,6.07063919444387e-25,1.55316892995467e-47,2.04355227129248e-20,"Non-Oscines"
"36358","Sittasomus","Furnariidae (Ovenbirds and Woodcreepers)","Sittasomus_griseicapillus","aequatorialis","Olivaceous Woodcreeper","Paul Coopmans","1991-09-00","?","Ecuador","Los Ríos: Jauneche",-1.333,-79.583,264565,"Sittasomus_griseicapillus_264565_seg1.wav",0.0222222222222222,199.58109,28.3659,5.1253595,16.856007,4.2231054,-0.96669555,-1.2331644,-11.560709,-12.997733,0.06577892,-1.5650499,0.8559948,4.0237055,1.9243491,-2.36877,4.314836,-3.0714667,-5.608028,-1.1778741,1.4341062,-12.237046,-1.6508161,-8.075957,-4.774574,3.1329098,0.688126,-4.0237064,0.8079127,9.056884,2.1341946,0.29584837,-7.2548037,11.307206,0.48599625,-1.2063408,-0.7090359,-4.8906198,2,1.05694624788588e-17,1.00307010420173e-36,0.999999999994245,5.62749866175107e-59,5.75558971380908e-12,1.33824295547268e-28,2.98125498984891e-61,2.94358264963692e-30,"Non-Oscines"
"36359","Sittasomus","Furnariidae (Ovenbirds and Woodcreepers)","Sittasomus_griseicapillus","","Olivaceous Woodcreeper","Peter Boesman","2024-02-20","16:00","Guatemala","PN Yaxhá, Petén",17.0774,-89.3949,880307,"Sittasomus_griseicapillus_880307_seg1.wav",0.0222222222222222,204.3731,8.728894,-18.1925,15.910234,-1.053152,8.424719,0.3157632,-5.5521765,-10.7271185,-3.7270198,-4.133468,13.663263,4.288445,2.4625125,-3.5171914,-2.019603,-10.44873,8.9360485,-1.5204067,9.820062,-6.9991865,-18.137337,3.7648878,0.26375648,28.967396,-4.6908913,9.76718,1.1240112,-16.908838,-9.83822,9.225687,7.7341237,-10.79706,3.1535664,0.80217266,-2.883605,4.710566,2,1.75433068873506e-47,1.03518005825051e-123,1,4.85509650475252e-222,1.5586801097294e-18,1.31681651079365e-89,6.63661489818937e-219,7.81362453421805e-90,"Non-Oscines"
