Iteration	Posterior	Likelihood	Prior	rho[1][4]
0	-8970.168	0	-8970.168	0.325874
500	-1808.775	0	-1808.775	0.1404118
1000	-1740.946	0	-1740.946	0.049581
1500	-1643.105	0	-1643.105	0.1391271
2000	-1550.207	0	-1550.207	0.04468409
2500	-1546.959	0	-1546.959	0.09455703
3000	-1585.54	0	-1585.54	-0.03487627
3500	-1556.264	0	-1556.264	0.03150077
4000	-1582.158	0	-1582.158	0.1134929
4500	-1564.021	0	-1564.021	0.156608
5000	-1640.023	0	-1640.023	0.1111872
5500	-1632.329	0	-1632.329	0.1009049
6000	-1618.508	0	-1618.508	-0.001963903
6500	-1578.183	0	-1578.183	-0.04462236
7000	-1602.245	0	-1602.245	-0.05299205
7500	-1639.756	0	-1639.756	0.06278585
8000	-1620.841	0	-1620.841	-0.07812095
8500	-1576.081	0	-1576.081	0.005066035
9000	-1611.178	0	-1611.178	-0.02961604
9500	-1630.709	0	-1630.709	-0.02414915
10000	-1602.402	0	-1602.402	0.04332663
10500	-1529.157	0	-1529.157	0.1506717
11000	-1546.89	0	-1546.89	-0.05515216
11500	-1573.337	0	-1573.337	-0.1171362
12000	-1514.767	0	-1514.767	-0.08701047
12500	-1578.12	0	-1578.12	-0.1444896
13000	-1599.135	0	-1599.135	-0.002875066
13500	-1606.29	0	-1606.29	0.1261934
14000	-1611.055	0	-1611.055	0.08901856
14500	-1623.345	0	-1623.345	0.0768051
15000	-1646.889	0	-1646.889	-0.0217159
15500	-1573.651	0	-1573.651	-0.03563071
16000	-1518.827	0	-1518.827	-0.1239275
16500	-1607.764	0	-1607.764	-0.2326279
17000	-1596.119	0	-1596.119	0.02432563
17500	-1588.254	0	-1588.254	-0.01256056
18000	-1580.294	0	-1580.294	-0.2614151
18500	-1621.172	0	-1621.172	-0.03105725
19000	-1621.057	0	-1621.057	-0.3486755
19500	-1604.094	0	-1604.094	-0.2453613
20000	-1620.381	0	-1620.381	-0.125685
20500	-1675.906	0	-1675.906	-0.07695331
21000	-1646.051	0	-1646.051	-0.2187632
21500	-1554.761	0	-1554.761	-0.1314546
22000	-1507.099	0	-1507.099	0.07067324
22500	-1546.96	0	-1546.96	-0.05089666
23000	-1509.1	0	-1509.1	-0.2481105
23500	-1464.259	0	-1464.259	-0.3500606
24000	-1473.921	0	-1473.921	-0.30196
24500	-1491.183	0	-1491.183	-0.3689852
25000	-1569.234	0	-1569.234	-0.2673284
25500	-1533.928	0	-1533.928	-0.01919408
26000	-1553.306	0	-1553.306	-0.06921428
26500	-1576.887	0	-1576.887	-0.1178845
27000	-1578.989	0	-1578.989	-0.2982046
27500	-1630.115	0	-1630.115	-0.3113231
28000	-1607.41	0	-1607.41	-0.2578923
28500	-1575.744	0	-1575.744	-0.1791809
29000	-1580.833	0	-1580.833	-0.2994318
29500	-1607.698	0	-1607.698	-0.3227815
30000	-1583.456	0	-1583.456	-0.05496933
30500	-1654.712	0	-1654.712	-0.2384327
31000	-1568.805	0	-1568.805	-0.3160915
31500	-1539.819	0	-1539.819	-0.3033679
32000	-1607.303	0	-1607.303	-0.3793508
32500	-1517.301	0	-1517.301	-0.294437
33000	-1575.741	0	-1575.741	-0.3170538
33500	-1579.85	0	-1579.85	-0.04316204
34000	-1555.25	0	-1555.25	-0.1190752
34500	-1513.215	0	-1513.215	-0.101181
35000	-1584.855	0	-1584.855	-0.1538502
35500	-1570.425	0	-1570.425	-0.1786585
36000	-1544.934	0	-1544.934	-0.1463882
36500	-1482.396	0	-1482.396	-0.150217
37000	-1541.212	0	-1541.212	-0.320826
37500	-1482.042	0	-1482.042	-0.1866794
38000	-1514.111	0	-1514.111	-0.0337373
38500	-1562.595	0	-1562.595	-0.06832946
39000	-1616.445	0	-1616.445	-0.08079521
39500	-1622.335	0	-1622.335	-0.1831077
40000	-1592.374	0	-1592.374	-0.1383574
40500	-1502.145	0	-1502.145	-0.2291528
41000	-1542.148	0	-1542.148	-0.3207514
41500	-1524.316	0	-1524.316	-0.1880642
42000	-1512.207	0	-1512.207	-0.1830959
42500	-1515.692	0	-1515.692	-0.2439411
43000	-1540.497	0	-1540.497	0.01689903
43500	-1566.263	0	-1566.263	-0.220232
44000	-1546.54	0	-1546.54	-0.2752943
44500	-1574.69	0	-1574.69	-0.0958743
45000	-1495.015	0	-1495.015	-0.2134867
45500	-1512.429	0	-1512.429	-0.1837131
46000	-1540.762	0	-1540.762	-0.304924
46500	-1571.514	0	-1571.514	-0.2187696
47000	-1502.568	0	-1502.568	-0.2631671
47500	-1447.866	0	-1447.866	-0.3472968
48000	-1473.477	0	-1473.477	-0.4177214
48500	-1558.693	0	-1558.693	-0.1481426
49000	-1553.918	0	-1553.918	-0.3914272
49500	-1530.289	0	-1530.289	-0.4199051
50000	-1537.822	0	-1537.822	-0.3504049
50500	-1521.551	0	-1521.551	-0.3990059
51000	-1491.109	0	-1491.109	-0.5222972
51500	-1485.021	0	-1485.021	-0.5092245
52000	-1519.542	0	-1519.542	-0.4596424
52500	-1554.136	0	-1554.136	-0.3704603
53000	-1490.441	0	-1490.441	-0.2887659
53500	-1538.845	0	-1538.845	-0.0545044
54000	-1453.591	0	-1453.591	-0.06750286
54500	-1557.397	0	-1557.397	-0.0213763
55000	-1479.521	0	-1479.521	0.08469439
55500	-1401.674	0	-1401.674	0.03051314
56000	-1402.963	0	-1402.963	-0.2552187
56500	-1424.778	0	-1424.778	-0.1639253
57000	-1480.257	0	-1480.257	0.1257292
57500	-1464.244	0	-1464.244	0.05837379
58000	-1543.866	0	-1543.866	0.1291486
58500	-1579.859	0	-1579.859	0.07687612
59000	-1554.101	0	-1554.101	0.1032015
59500	-1524.284	0	-1524.284	-0.2539123
60000	-1481.882	0	-1481.882	-0.1328374
60500	-1407.516	0	-1407.516	-0.1937125
61000	-1397.823	0	-1397.823	-0.3013171
61500	-1469.749	0	-1469.749	-0.2184975
62000	-1425.324	0	-1425.324	-0.2065324
62500	-1429.248	0	-1429.248	-0.1810106
63000	-1543.044	0	-1543.044	-0.1900304
63500	-1495.214	0	-1495.214	-0.03059138
64000	-1534.853	0	-1534.853	-0.0174777
64500	-1558.211	0	-1558.211	-0.07257783
65000	-1511.209	0	-1511.209	-0.261939
65500	-1530.176	0	-1530.176	-0.4651368
66000	-1497.371	0	-1497.371	-0.1877453
66500	-1517.893	0	-1517.893	-0.2699584
67000	-1516.066	0	-1516.066	-0.2049735
67500	-1481.509	0	-1481.509	-0.08565002
68000	-1531.174	0	-1531.174	-0.3430575
