Iteration	Posterior	Likelihood	Prior	rho[1][2]
0	-8970.168	0	-8970.168	0.2026358
500	-1808.775	0	-1808.775	0.3810723
1000	-1740.946	0	-1740.946	0.4630646
1500	-1643.105	0	-1643.105	0.5100489
2000	-1550.207	0	-1550.207	0.5879182
2500	-1546.959	0	-1546.959	0.4801441
3000	-1585.54	0	-1585.54	0.4293149
3500	-1556.264	0	-1556.264	0.3594909
4000	-1582.158	0	-1582.158	0.4399464
4500	-1564.021	0	-1564.021	0.4642807
5000	-1640.023	0	-1640.023	0.5088212
5500	-1632.329	0	-1632.329	0.3740322
6000	-1618.508	0	-1618.508	0.3808304
6500	-1578.183	0	-1578.183	0.5150972
7000	-1602.245	0	-1602.245	0.4909149
7500	-1639.756	0	-1639.756	0.4142418
8000	-1620.841	0	-1620.841	0.418558
8500	-1576.081	0	-1576.081	0.4106949
9000	-1611.178	0	-1611.178	0.3752433
9500	-1630.709	0	-1630.709	0.2917811
10000	-1602.402	0	-1602.402	0.4373491
10500	-1529.157	0	-1529.157	0.4434179
11000	-1546.89	0	-1546.89	0.5397737
11500	-1573.337	0	-1573.337	0.4381081
12000	-1514.767	0	-1514.767	0.4744918
12500	-1578.12	0	-1578.12	0.5852436
13000	-1599.135	0	-1599.135	0.5621652
13500	-1606.29	0	-1606.29	0.644198
14000	-1611.055	0	-1611.055	0.5878772
14500	-1623.345	0	-1623.345	0.4896678
15000	-1646.889	0	-1646.889	0.4373079
15500	-1573.651	0	-1573.651	0.5116285
16000	-1518.827	0	-1518.827	0.4491818
16500	-1607.764	0	-1607.764	0.5117249
17000	-1596.119	0	-1596.119	0.4638121
17500	-1588.254	0	-1588.254	0.4313202
18000	-1580.294	0	-1580.294	0.4269241
18500	-1621.172	0	-1621.172	0.5181191
19000	-1621.057	0	-1621.057	0.1941852
19500	-1604.094	0	-1604.094	0.2437389
20000	-1620.381	0	-1620.381	0.3608123
20500	-1675.906	0	-1675.906	0.3847053
21000	-1646.051	0	-1646.051	0.3730346
21500	-1554.761	0	-1554.761	0.6951844
22000	-1507.099	0	-1507.099	0.7724883
22500	-1546.96	0	-1546.96	0.6198905
23000	-1509.1	0	-1509.1	0.675228
23500	-1464.259	0	-1464.259	0.608111
24000	-1473.921	0	-1473.921	0.6313619
24500	-1491.183	0	-1491.183	0.5906621
25000	-1569.234	0	-1569.234	0.4895427
25500	-1533.928	0	-1533.928	0.6104882
26000	-1553.306	0	-1553.306	0.5401573
26500	-1576.887	0	-1576.887	0.4765532
27000	-1578.989	0	-1578.989	0.4923632
27500	-1630.115	0	-1630.115	0.5649956
28000	-1607.41	0	-1607.41	0.4435009
28500	-1575.744	0	-1575.744	0.5898478
29000	-1580.833	0	-1580.833	0.6336638
29500	-1607.698	0	-1607.698	0.4252845
30000	-1583.456	0	-1583.456	0.4643249
30500	-1654.712	0	-1654.712	0.5132792
31000	-1568.805	0	-1568.805	0.2608902
31500	-1539.819	0	-1539.819	0.4594983
32000	-1607.303	0	-1607.303	0.5065621
32500	-1517.301	0	-1517.301	0.4483234
33000	-1575.741	0	-1575.741	0.5525791
33500	-1579.85	0	-1579.85	0.5158314
34000	-1555.25	0	-1555.25	0.3800058
34500	-1513.215	0	-1513.215	0.2713003
35000	-1584.855	0	-1584.855	0.381517
