Iteration	Posterior	Likelihood	Prior	rho[2][3]
0	-8970.168	0	-8970.168	0.2884957
500	-1808.775	0	-1808.775	-0.3677352
1000	-1740.946	0	-1740.946	-0.4076764
1500	-1643.105	0	-1643.105	-0.3605057
2000	-1550.207	0	-1550.207	-0.3333882
2500	-1546.959	0	-1546.959	-0.02810492
3000	-1585.54	0	-1585.54	-0.1402401
3500	-1556.264	0	-1556.264	0.08481828
4000	-1582.158	0	-1582.158	0.04591563
4500	-1564.021	0	-1564.021	-0.05852173
5000	-1640.023	0	-1640.023	-0.04148653
5500	-1632.329	0	-1632.329	0.01832477
6000	-1618.508	0	-1618.508	-0.05289195
6500	-1578.183	0	-1578.183	-0.1648922
7000	-1602.245	0	-1602.245	-0.1682324
7500	-1639.756	0	-1639.756	-0.1908314
8000	-1620.841	0	-1620.841	-0.007476061
8500	-1576.081	0	-1576.081	-0.07832938
9000	-1611.178	0	-1611.178	-0.06160935
9500	-1630.709	0	-1630.709	-0.04479584
10000	-1602.402	0	-1602.402	-0.0309511
10500	-1529.157	0	-1529.157	-0.0009153242
11000	-1546.89	0	-1546.89	0.01800885
11500	-1573.337	0	-1573.337	0.06783673
12000	-1514.767	0	-1514.767	0.1218096
12500	-1578.12	0	-1578.12	-0.1177312
13000	-1599.135	0	-1599.135	-0.1997887
13500	-1606.29	0	-1606.29	-0.244567
14000	-1611.055	0	-1611.055	0.009374747
14500	-1623.345	0	-1623.345	-0.07807052
15000	-1646.889	0	-1646.889	-0.03645001
15500	-1573.651	0	-1573.651	0.04387747
16000	-1518.827	0	-1518.827	0.07236603
16500	-1607.764	0	-1607.764	0.01328704
17000	-1596.119	0	-1596.119	0.07027831
17500	-1588.254	0	-1588.254	0.08311784
18000	-1580.294	0	-1580.294	-0.03756913
18500	-1621.172	0	-1621.172	0.002814904
19000	-1621.057	0	-1621.057	0.0005447266
19500	-1604.094	0	-1604.094	0.2208531
20000	-1620.381	0	-1620.381	0.02675059
20500	-1675.906	0	-1675.906	0.06504518
21000	-1646.051	0	-1646.051	-0.09132046
21500	-1554.761	0	-1554.761	-0.0491506
22000	-1507.099	0	-1507.099	-0.04884091
22500	-1546.96	0	-1546.96	0.02465227
23000	-1509.1	0	-1509.1	-0.1354596
23500	-1464.259	0	-1464.259	-0.1163961
24000	-1473.921	0	-1473.921	-0.127689
24500	-1491.183	0	-1491.183	-0.0906678
25000	-1569.234	0	-1569.234	-0.09183322
25500	-1533.928	0	-1533.928	-0.2228813
26000	-1553.306	0	-1553.306	-0.2262966
26500	-1576.887	0	-1576.887	-0.1716159
27000	-1578.989	0	-1578.989	-0.2495038
27500	-1630.115	0	-1630.115	-0.148901
28000	-1607.41	0	-1607.41	-0.009002958
28500	-1575.744	0	-1575.744	-0.2002195
29000	-1580.833	0	-1580.833	-0.1193189
29500	-1607.698	0	-1607.698	-0.007438713
30000	-1583.456	0	-1583.456	-0.202926
30500	-1654.712	0	-1654.712	-0.1811428
31000	-1568.805	0	-1568.805	0.05328187
31500	-1539.819	0	-1539.819	-0.09908351
32000	-1607.303	0	-1607.303	0.01930577
32500	-1517.301	0	-1517.301	0.2099912
33000	-1575.741	0	-1575.741	-0.3438785
33500	-1579.85	0	-1579.85	-0.2259961
34000	-1555.25	0	-1555.25	-0.3293308
34500	-1513.215	0	-1513.215	0.06725089
35000	-1584.855	0	-1584.855	0.1057857
35500	-1570.425	0	-1570.425	-0.07741174
36000	-1544.934	0	-1544.934	-0.2482986
36500	-1482.396	0	-1482.396	-0.1522374
37000	-1541.212	0	-1541.212	-0.1160822
37500	-1482.042	0	-1482.042	-0.1002263
38000	-1514.111	0	-1514.111	0.04235728
38500	-1562.595	0	-1562.595	0.05593018
39000	-1616.445	0	-1616.445	0.1063859
39500	-1622.335	0	-1622.335	0.1099816
40000	-1592.374	0	-1592.374	-0.1140206
40500	-1502.145	0	-1502.145	-0.007507974
41000	-1542.148	0	-1542.148	-0.06194068
41500	-1524.316	0	-1524.316	0.02410356
42000	-1512.207	0	-1512.207	0.03044199
42500	-1515.692	0	-1515.692	0.07517711
43000	-1540.497	0	-1540.497	-0.2111396
43500	-1566.263	0	-1566.263	-0.1194273
44000	-1546.54	0	-1546.54	-0.3993815
44500	-1574.69	0	-1574.69	-0.3022998
45000	-1495.015	0	-1495.015	-0.119191
45500	-1512.429	0	-1512.429	-0.3422229
46000	-1540.762	0	-1540.762	-0.1011554
46500	-1571.514	0	-1571.514	0.1214715
47000	-1502.568	0	-1502.568	0.09173991
47500	-1447.866	0	-1447.866	0.02970103
48000	-1473.477	0	-1473.477	0.03209903
48500	-1558.693	0	-1558.693	0.01883211
49000	-1553.918	0	-1553.918	-0.2237039
49500	-1530.289	0	-1530.289	-0.3902124
50000	-1537.822	0	-1537.822	-0.254735
50500	-1521.551	0	-1521.551	-0.09734837
51000	-1491.109	0	-1491.109	-0.1992975
51500	-1485.021	0	-1485.021	0.03062327
52000	-1519.542	0	-1519.542	-0.03017911
52500	-1554.136	0	-1554.136	-0.1997685
53000	-1490.441	0	-1490.441	-0.1927578
53500	-1538.845	0	-1538.845	-0.1315007
54000	-1453.591	0	-1453.591	-0.1182294
54500	-1557.397	0	-1557.397	-0.02315861
55000	-1479.521	0	-1479.521	0.009526469
55500	-1401.674	0	-1401.674	0.05137519
56000	-1402.963	0	-1402.963	-0.1481678
56500	-1424.778	0	-1424.778	-0.1403744
57000	-1480.257	0	-1480.257	-0.1903276
57500	-1464.244	0	-1464.244	-0.04069077
58000	-1543.866	0	-1543.866	0.06551248
58500	-1579.859	0	-1579.859	-0.08428153
59000	-1554.101	0	-1554.101	-0.08029215
59500	-1524.284	0	-1524.284	-0.1538911
60000	-1481.882	0	-1481.882	-0.2563501
60500	-1407.516	0	-1407.516	-0.2068606
61000	-1397.823	0	-1397.823	-0.191187
61500	-1469.749	0	-1469.749	-0.2576747
62000	-1425.324	0	-1425.324	-0.2300762
62500	-1429.248	0	-1429.248	-0.1345214
63000	-1543.044	0	-1543.044	-0.3469783
63500	-1495.214	0	-1495.214	-0.1237665
64000	-1534.853	0	-1534.853	-0.1764476
64500	-1558.211	0	-1558.211	0.06042133
65000	-1511.209	0	-1511.209	-0.06578728
65500	-1530.176	0	-1530.176	-0.04083291
66000	-1497.371	0	-1497.371	0.1344124
66500	-1517.893	0	-1517.893	-0.1440512
67000	-1516.066	0	-1516.066	-0.2298277
67500	-1481.509	0	-1481.509	-0.008720155
68000	-1531.174	0	-1531.174	0.1335825
68500	-1489.105	0	-1489.105	0.05265087
69000	-1543.978	0	-1543.978	0.257699
69500	-1556.481	0	-1556.481	0.3005599
70000	-1516.631	0	-1516.631	0.1581405
70500	-1481.429	0	-1481.429	0.3166767
71000	-1567.784	0	-1567.784	0.4704294
71500	-1530.962	0	-1530.962	0.3934798
72000	-1471.09	0	-1471.09	0.3751413
72500	-1502.035	0	-1502.035	0.1056953
73000	-1556.133	0	-1556.133	0.2152655
73500	-1582.246	0	-1582.246	0.08627476
74000	-1588.631	0	-1588.631	0.04154213
74500	-1499.152	0	-1499.152	0.3262269
75000	-1565.123	0	-1565.123	-0.009588912
75500	-1604.285	0	-1604.285	-0.09219984
76000	-1629.767	0	-1629.767	-0.01612484
76500	-1528.512	0	-1528.512	-0.1568409
77000	-1516.467	0	-1516.467	-0.2458776
77500	-1461.356	0	-1461.356	-0.1955154
78000	-1540.237	0	-1540.237	-0.2796381
